Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
288,PRIVISCL.NS,2963.2,107.08K,Process Industries,Chemicals: Major Diversified,90.0,79.0,62.0,90.0,223.48K,73.64K,3440.5,1501.0,-13.87
289,BHARATSE.NS,158.74,150.71K,Producer Manufacturing,Auto Parts: Oem,90.0,8.0,61.0,82.0,843.14K,151.32K,239.45,69.84,-33.71
290,ASHOKLEY.NS,170.95,13074.04K,Producer Manufacturing,Trucks/Construction/Farm Machinery,90.0,13.0,74.0,90.0,18826.33K,23766.15K,215.42,95.93,-20.64
292,RBLBANK.NS,303.95,3555.11K,Finance,Major Banks,90.0,67.0,80.0,87.0,5733.64K,3448.24K,340.4,164.41,-10.71
293,NAVINFLUOR.NS,6217.5,191.37K,Process Industries,Chemicals: Specialty,90.0,61.0,85.0,92.0,217.14K,154.33K,6965.0,3670.6,-10.73
295,SHIVAUM.NS,347.3,0.17K,Producer Manufacturing,Metal Fabrication,89.0,96.0,94.0,89.0,0.83K,0.53K,370.0,250.0,-6.14
297,RISHABH.NS,387.05,27.94K,Producer Manufacturing,Electrical Products,89.0,44.0,81.0,74.0,79.80K,41.87K,490.0,207.11,-21.01
298,MWL.NS,258.05,40.78K,Non-Energy Minerals,Steel,89.0,70.0,73.0,81.0,82.50K,71.41K,295.95,150.0,-12.81
299,MANOMAY.NS,231.55,142.88K,Process Industries,Textiles,89.0,91.0,90.0,93.0,20.75K,74.84K,259.88,154.1,-10.9
302,DYNAMATECH.NS,9565.0,37.03K,Producer Manufacturing,Industrial Machinery,89.0,67.0,75.0,92.0,27.78K,23.31K,10950.0,5444.15,-12.65
304,FEDERALBNK.NS,270.95,9709.46K,Finance,Major Banks,89.0,53.0,82.0,93.0,10095.57K,10260.85K,302.0,183.15,-10.28
305,DIVGIITTS.NS,697.65,33.41K,Producer Manufacturing,Auto Parts: Oem,89.0,51.0,93.0,83.0,35.47K,28.28K,802.9,410.1,-13.11
307,SBIN.NS,1060.6,16203.52K,Finance,Regional Banks,89.0,29.0,88.0,91.0,13185.19K,15476.02K,1234.7,730.0,-14.1
308,COMSYN.NS,153.5,33.29K,Process Industries,Containers/Packaging,89.0,10.0,85.0,79.0,108.30K,85.94K,199.9,71.11,-23.21
309,ANANDRATHI.NS,2992.7,105.05K,Finance,Investment Managers,89.0,75.0,79.0,78.0,215.91K,166.99K,3321.4,1600.0,-9.9
310,SAILIFE.NS,1012.35,1194.34K,Commercial Services,Miscellaneous Commercial Services,89.0,89.0,89.0,88.0,602.07K,554.27K,1084.0,636.1,-6.61
314,GNA.NS,396.15,91.73K,Producer Manufacturing,Auto Parts: Oem,89.0,69.0,94.0,91.0,189.81K,66.80K,470.0,271.05,-15.71
315,SHARDACROP.NS,950.6,221.71K,Distribution Services,Wholesale Distributors,89.0,12.0,86.0,85.0,529.21K,222.12K,1297.0,452.25,-26.71
318,SJS.NS,1653.8,126.72K,Producer Manufacturing,Auto Parts: Oem,89.0,48.0,67.0,86.0,129.75K,110.67K,1930.0,811.0,-14.31
319,SHRIPISTON.NS,3102.1,93.14K,Producer Manufacturing,Auto Parts: Oem,89.0,83.0,76.0,90.0,96.55K,151.80K,3407.2,1662.55,-8.95
