Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
2452,INDAG.BO,100.6,3.91K,Producer Manufacturing,Miscellaneous Manufacturing,21.0,25.0,13.0,35.0,3.59K,4.70K,153.4,96.5,2.64B,No
2453,IWP.BO,31.67,51.97K,Consumer Non-Durables,Food: Specialty/Candy,21.0,29.0,23.0,37.0,11.23K,18.85K,57.25,30.3,2.03B,No
2454,NISUS.BO,263.85,44.00K,Finance,Financial Conglomerates,21.0,34.0,24.0,22.0,39.73K,39.40K,435.0,260.0,6.30B,No
2455,ORIENTHOT.NS,100.82,1021.25K,Consumer Services,Hotels/Resorts/Cruise Lines,21.0,49.0,34.0,23.0,334.52K,221.61K,168.99,98.08,18.01B,No
2456,BSL.NS,130.69,3.62K,Process Industries,Textiles,21.0,36.0,13.0,33.0,9.49K,4.57K,208.0,121.8,1.35B,No
2457,SOLARAPP1.BO,292.6,0.06K,Health Technology,Pharmaceuticals: Major,21.0,4.0,6.0,8.0,0.53K,1.82K,511.0,215.55,19.22B,No
2458,AARTECH.NS,43.38,31.87K,Commercial Services,Miscellaneous Commercial Services,21.0,33.0,43.0,20.0,47.23K,54.64K,76.79,43.0,1.38B,No
2459,KOTHARIPET.NS,115.58,23.51K,Process Industries,Chemicals: Specialty,21.0,49.0,27.0,13.0,37.26K,25.47K,191.95,111.56,6.80B,No
2460,INDIANCARD.NS,212.93,1.86K,Producer Manufacturing,Industrial Machinery,21.0,28.0,30.0,33.0,2.73K,1.92K,384.0,208.0,1.28B,No
2461,SRD.NS,51.18,27.60K,Distribution Services,Wholesale Distributors,21.0,18.0,19.0,10.0,42.19K,31.24K,91.0,49.95,3.27B,No
2462,BMW.BO,34.89,149.62K,Non-Energy Minerals,Steel,21.0,12.0,45.0,20.0,106.22K,83.85K,59.75,34.27,7.85B,No
2463,JYOTHYLAB.NS,254.38,516.77K,Consumer Non-Durables,Household/Personal Care,21.0,61.0,28.0,24.0,444.94K,685.61K,399.9,236.75,93.41B,No
2464,HARYNACAP.BO,145.9,0.92K,Finance,Finance/Rental/Leasing,21.0,13.0,25.0,19.0,1.16K,2.22K,232.95,137.0,759.95M,No
2465,FAIRCHEMOR.NS,586.8,3.20K,Process Industries,Chemicals: Specialty,21.0,20.0,49.0,19.0,18.02K,12.47K,1102.7,541.55,7.60B,No
2466,SALEM.BO,32.14,0.01K,Finance,Finance/Rental/Leasing,21.0,36.0,31.0,30.0,0.55K,0.76K,66.45,29.0,368.50M,No
2467,63MOONS.NS,604.85,111.08K,Technology Services,Packaged Software,21.0,35.0,16.0,10.0,308.29K,220.03K,1130.0,575.05,27.87B,No
2468,JINDHOT.BO,65.13,0.27K,Consumer Services,Hotels/Resorts/Cruise Lines,21.0,36.0,26.0,31.0,0.97K,2.33K,109.0,61.0,455.91M,No
2469,WIPRO.NS,201.08,14374.01K,Technology Services,Information Technology Services,21.0,8.0,22.0,34.0,12054.74K,19626.12K,303.3,199.12,2106.56B,No
2470,VGCL.BO,32.63,32.27K,Finance,Investment Managers,21.0,21.0,31.0,28.0,6.98K,5.43K,56.25,30.0,747.47M,No
2471,DELTACORP.NS,62.31,786.75K,Consumer Services,Movies/Entertainment,21.0,39.0,47.0,20.0,1408.88K,906.52K,98.8,61.8,16.69B,No
2472,EKI.BO,93.37,12.23K,Utilities,Electric Utilities,21.0,54.0,42.0,37.0,27.87K,23.78K,205.0,82.45,2.59B,No
2473,GRAVISSHO.BO,30.92,0.89K,Consumer Services,Hotels/Resorts/Cruise Lines,21.0,58.0,41.0,21.0,3.63K,4.60K,51.9,28.51,2.18B,No
2474,GVL.BO,84.4,7.00K,Distribution Services,Wholesale Distributors,21.0,6.0,7.0,18.0,5.83K,4.10K,141.8,81.35,1.09B,No
2475,WIMPLAST.BO,382.25,7.17K,Consumer Durables,Home Furnishings,21.0,11.0,16.0,33.0,7.17K,9.17K,579.8,380.0,4.59B,No
2476,BIRLAPREC.BO,34.3,11.96K,Producer Manufacturing,Industrial Machinery,21.0,70.0,4.0,33.0,74.77K,80.86K,54.5,29.87,2.35B,No
2477,VEDANTASSET.BO,38.61,3.00K,Finance,Investment Managers,21.0,16.0,67.0,22.0,3.61K,2.70K,69.79,37.6,106.63M,No
2478,MEDIASSIST.NS,385.15,112.99K,Finance,Investment Managers,20.0,32.0,19.0,17.0,161.74K,124.83K,594.1,375.0,28.68B,No
2479,MADHUDIN.BO,31.48,0.84K,Finance,Real Estate Development,20.0,68.0,30.0,21.0,0.65K,0.84K,52.45,27.02,169.20M,No
2480,DMCC.NS,221.75,21.20K,Process Industries,Chemicals: Major Diversified,20.0,43.0,33.0,12.0,16.82K,19.93K,350.0,207.5,5.54B,No
2481,DYNPRO.NS,231.63,44.82K,Consumer Non-Durables,Food: Specialty/Candy,20.0,72.0,33.0,4.0,20.18K,37.04K,415.8,211.0,2.88B,No
2482,SYSTEMATIC.BO,155.0,42.00K,Producer Manufacturing,Metal Fabrication,20.0,59.0,12.0,,27.50K,49.20K,247.75,143.8,3.46B,No
2483,SIMPLXPAP.BO,1446.0,0.04K,Distribution Services,Wholesale Distributors,20.0,55.0,60.0,20.0,0.00K,0.00K,2680.0,1364.4,43.40M,No
