Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
42,Pharmaceuticals: Major,Health Technology,54,57,56,55,"PHRMASI.BO,NGLFINE.NS,KPL.BO,VENUSREM.NS,SAKAR.NS,CONCORD.BO,SHUKRAPHAR.BO,SMSPHARMA.NS,ACUTAAS.NS,FREDUN.BO,NOVELIX.BO,INDSWFTLAB.NS,BLISSGVS.NS,LAURUSLABS.NS,GLENMARK.NS,TORNTPHARM.NS,ANURAS.NS,JBCHEPHARM.NS,EMCURE.NS,PARNAXLAB.BO,LINCOLN.NS,AAREYDRUGS.NS,NATCOPHARM.NS,AJANTPHARM.NS,AUROLAB.BO,AHCL.NS,SENORES.NS,CORONA.NS,BACPHAR.BO,MAKERSL.BO,NOVARTIND.BO,STAR.NS,BIOCON.NS,ASTONEALAB.BO,IPCALAB.NS,SUNPHARMA.NS,BAFNAPH.NS,DRREDDY.NS,ALKEM.NS,WANBURY.NS,ALIVUS.NS,DIVISLAB.NS,GODAVARI.BO,ZOTA.NS,ASTRAZEN.NS,VIYASH.NS,BPLPHARMA.BO,SMRUTHIORG.BO,GLAND.NS,ZYDUSLIFE.NS,MANKIND.NS,PFIZER.NS,WOCKPHARMA.NS,PANACEABIO.NS,SYSCHEM.BO,SGRL.BO,ANUHPHR.NS,COLINZ.BO,SHILPAMED.NS,SANOFICONR.NS,NEULANDLAB.NS,KILITCH.NS,SUNLOC.BO,ABBOTINDIA.NS,MERCURYLAB.BO,INNOVACAP.NS,ERIS.NS,JENBURPH.BO,GLAXO.NS,VIKRAMTH.BO,SUPRIYA.NS,GUJTHEM.NS,ONESOURCE.NS,SPARC.NS,MARKSANS.NS,ALBERTDAVD.NS,FDC.NS,WINDLAS.NS,AARTIPHARM.NS,TYCHE.BO,PGHL.NS,CAPLIPOINT.NS,BALPHARMA.NS,TLL.BO,HESTERBIO.NS,KIMIABL.BO,AARTIDRUGS.NS,ALEMBICLTD.NS,RPGLIFE.NS,MOREPENLAB.NS,LACTOSE.BO,MEDICO.NS,ROOPAIND.BO,INDGN.NS,SUVEN.NS,PPLPHARMA.NS,ZENOTECH.BO,GUFICBIO.NS,AMANTA.NS,GUJTERC.BO,SOLARA.NS,KOPRAN.NS,APLLTD.NS,SHELTER.BO,PARMAX.BO,JUBLPHARMA.NS,INDOCO.NS,BIOFILCHEM.NS,MANGALAM.NS,STARSOURCE.BO,TTKHLTCARE.NS,SANOFI.NS,SANJIVIN.BO,PANCHSHEEL.BO,DCAL.NS,KREBSBIO.NS,MEDICAMEQ.NS,VALIANTLAB.NS,THEMISMED.NS,OXYGENTAPH.BO,ALPA.NS,BETA.NS,PRAVEG.BO,ORCHPHARMA.NS,BAJAJHCARE.NS,UNICHEMLAB.NS,HIKAL.NS,PHARMAID.BO,VRL.BO,BLUEJET.NS,BROOKS.NS,COHANCE.NS"
43,Electric Utilities,Utilities,54,55,58,56,"SGMART.NS,ADANIENSOL.NS,NTPC.NS,ADANIPOWER.NS,TORNTPOWER.NS,NAVA.NS,NLCINDIA.NS,TATAPOWER.NS,JSWENERGY.NS,PTC.NS,CESC.NS,NHPC.NS,TEXINFRA.NS,ADANIGREEN.NS,SJVN.NS,GIPCL.NS,WAA.BO,SWANCORP.NS,KARMAENG.NS,GITARENEW.BO,PACEDIGITK.NS,EKI.BO,RELINFRA.NS"
44,Food Distributors,Distribution Services,54,53,61,62,"NMSGLOBAL.BO,PURETROP.BO,HALDER.NS,STCINDIA.NS,EMPIND.BO,MONIKA.BO,MRP.BO,FRATELLI.BO"
45,Industrial Conglomerates,Producer Manufacturing,53,43,54,47,"TIRUPATIFL.NS,3MINDIA.NS,GRAMEVA.BO,BALMLAWRIE.NS,FIBERWEB.NS,DCMSHRIRAM.NS,IPRINGLTD.BO,KCP.NS,UNIENTER.NS"
46,Medical Specialties,Health Technology,53,55,48,43,"HSIL.BO,CHOKSI.BO,LENSKART.NS,TRANSPACT.BO,RAAJMEDI.BO,NURECA.NS,SHREEPAC.BO,GKB.BO,SETL.NS,PREVEST.BO,EARKART.BO,CSURGSU.BO,VOEPL.BO,POLYMED.NS,MICEL.NS"
47,Miscellaneous Manufacturing,Producer Manufacturing,53,53,54,51,"PANKAJPO.BO,GENESIS.BO,APTPACK.BO,SIZEMASTER.BO,ORICONENT.NS,APOLLOPIPE.NS,ASTRAL.NS,SUPREMEIND.NS,IIRM.BO,ADOR.NS,FINPIPE.NS,KANPRPLA.NS,ALFAICA.BO,PIXTRANS.NS,AMEENJI.BO,VAMSHIRU.BO,BDI.BO,SAMPANN.NS,MITSU.BO,DEFRAIL.BO,DHABRIYA.BO,HAWKINCOOK.BO,DALBHARAT.NS,MALPANI.BO,INTLCONV.NS,PYRAMID.NS,NIRAJISPAT.NS,ALKOSIGN.BO,MOLDTKPAC.NS,MORGANITE.BO,CPL.BO,RHIM.NS,DHPIND.BO,GARFIBRES.NS,TEXMOPIPES.NS,KAKA.BO,GUJRAFFIA.NS,KRITI.NS,GRPLTD.NS,NATPLAS.BO,AMDIND.NS,BOROLTD.NS,ALLTIME.NS,SONALAD.BO,ELGIRUBCO.NS,SOMICONVEY.NS,HITECHCORP.NS,INDAG.BO,FLUIDOM.BO,PPL.NS,TOKYOPLAST.NS"
48,Alternative Power Generation,Utilities,53,43,51,58,"UEL.NS,POWERGRID.NS,RELTD.NS,INOXGREEN.NS,NTPCGREEN.NS,WAAREERTL.NS,KPIGREEN.NS,SUGSLLOYD.BO,KPEL.NS"
49,Finance/Rental/Leasing,Finance,53,49,50,56,"GDLLEAS.BO,AUTOINT.BO,TRUSTEDGE.BO,CITIPOR.BO,FYNX.BO,KINETRU.BO,CLFL.BO,SHRIRAMFIN.NS,PURPLEFIN.BO,TFCILTD.NS,JJFINCOR.BO,PIRAMALFIN.NS,DHRUVCA.BO,LTF.NS,MAHAPEXLTD.NS,INDUSTOWER.NS,M&MFIN.NS,MUFIN.NS,TFSL.BO,IFINSEC.BO,SUNDARMFIN.NS,JLL.BO,CANFINHOME.NS,SANGAMFIN.BO,KREONFIN.BO,SAMMAANCAP.NS,MUTHOOTFIN.NS,IIFL.NS,PFC.NS,NORTHARC.NS,GLANCE.BO,IFCI.NS,JAFINANCE.BO,FEDFINA.NS,INDBNK.BO,RELICTEC.BO,POONAWALLA.NS,MANGALCOMP.BO,FUSION.NS,AADHARHFC.NS,MASFIN.NS,MANSIFIN.BO,SATIN.NS,CREDITACC.NS,SSFLPP.BO,MUTHOOTMF.NS,MANAPPURAM.NS,MANCREDIT.NS,RTFL.BO,PAYTM.NS,AASTAFIN.BO,CHOLAFIN.NS,TATACAP.NS,REPCOHOME.NS,INDIAHOME.BO,CGCL.NS,PRITHVIEXCH.BO,ARMANFIN.NS,PARAGONF.BO,SONAL.BO,SAHARAHOUS.BO,BAJFINANCE.NS,TARACHAND.NS,LICHSGFIN.NS,KIFS.BO,HOMEFIRST.NS,SRGHFL.NS,SBFC.NS,PAISALO.NS,STARTECK.NS,RECLTD.NS,PNBHOUSING.NS,SPANDANA.NS,ABHICAP.BO,GICHSGFIN.NS,CHOLAHLDNG.NS,HUDCO.NS,INDIASHLTR.NS,NLFL.BO,MANRAJH.BO,SANGHVIMOV.NS,HDBFS.NS,PFS.NS,MANBA.NS,SBICARD.NS,IRFC.NS,ICDSLTD.NS,MASKINVEST.NS,SAINIK.BO,CEEJAY.BO,INDOSTAR.NS,CROWN.NS,APOLLOFI.BO,CIFL.NS,VAPIENTER.BO,SAHLIBHFI.BO,AVAILFC.BO,IREDA.NS,BAJAJHFL.NS,RFL.BO,ACME.BO,MUTHOOTCAP.NS,APTUS.NS,ADMANUM.BO,SALEM.BO,HARYNACAP.BO,AAVAS.NS,ABIRAFN.BO,SUJALA.BO,NDGL.NS,KEYCORP.BO,MKVENTURES.BO,INTRGLB.BO,FMEC.BO,THACKER.BO,NIYOGIN.BO,LAXMIINDIA.NS,FIVESTAR.NS,UGROCAP.NS,BAZELINTER.BO,ECOSMOBLTY.NS,FINKURVE.NS,SRSOLTD.BO,CAPFIN.BO,RANJITSE.BO"
50,Household/Personal Care,Consumer Non-Durables,52,51,52,50,"CUPID.NS,BAJAJCON.NS,THRIVE.BO,MARICO.NS,STDSFAC.BO,KAYA.NS,GODREJCP.NS,DABUR.NS,HINDUNILVR.NS,GILLETTE.NS,COLPAL.NS,GALAXYSURF.NS,PGHH.NS,RAVEL.BO,EMAMILTD.NS,JYOTHYLAB.NS,PCCOSMA.BO,AMWILL.BO,HIPOLIN.BO"
51,Textiles,Process Industries,52,54,54,55,"SPICEISLIN.BO,SHANTAI.BO,SURBHIN.BO,TRUEGREEN.BO,SHUBHAM.BO,OSIAJEE.BO,OMNITEX.BO,JATTAINDUS.BO,SOMATEX.NS,BORANA.NS,CANDOUR.BO,ACSTECH.BO,PASHUPATI.NS,ARMAN.BO,VTL.NS,SPORTKING.NS,ADDIND.BO,TEJASSVI.BO,MANOMAY.NS,MODTHREAD.NS,VTMLTD.BO,LEMERITE.NS,SANGAMIND.NS,KONARKSY.BO,SUNRAKSHAK.BO,NITINSPIN.NS,LAKHOTIA.BO,RNBDENIMS.NS,SALONA.NS,APMIN.BO,SANTETX.BO,MODWOOL.BO,LAKSHMIMIL.BO,HPCOTTON.BO,GINNIFILA.NS,FAZE3Q.NS,VICTMILL.BO,YORKEXP.BO,ARVIND.NS,AYMSYNTEX.NS,PREMCO.BO,LAHOTIOV.BO,AMBIKCO.NS,PASUPTAC.NS,DHANFAB.BO,MAYURUNIQ.NS,SURYALA.BO,SELMC.BO,NIBE.NS,PRECOT.NS,SANATHAN.NS,RSWM.NS,ELITECON.BO,GHCLTEXTIL.NS,BETXIND.BO,RUBYMILLS.NS,NAHARPOLY.NS,RIBATEX.BO,JASCH.BO,VIPPYSP.BO,BANSWRAS.NS,RAJPALAYAM.BO,BLUECHIPT.BO,CHEVIOT.NS,ORBTEXP.NS,ICIL.NS,SPARKLEGR.BO,NAHARSPING.NS,RAGHUSYN.BO,HINDMILL.BO,SKYIND.BO,BHILSPIN.BO,AMARJOTHI.BO,DIGJAMLMTD.NS,MAFATIND.BO,SURYAAMBA.BO,JAIHINDS.BO,SIHORA.BO,DONEAR.NS,HISARSP.BO,ASHNOOR.BO,SARLAPOLY.NS,SUTLEJTEX.NS,MKEXIM.BO,VOITHPAPR.BO,VGL.NS,GLOSTERLTD.NS,DEEPAKSP.BO,FILATEX.NS,NAHARINDUS.NS,SURYALAXMI.NS,OLYMPTX.BO,PASUSPG.BO,KGPETRO.BO,HINDAPL.BO,EVERFIN.BO,WINSOMTX.BO,LOYALTEX.NS,BTTL.BO,KITEX.NS,CAMEXLTD.BO,SHANTIDENM.BO,LAGNAM.NS,KAMADGIRI.BO,SRINACHA.BO,SUPER.BO,SHRIDINE.BO,PBMPOLY.BO,BSL.NS,LAMBODHARA.NS,GOKAKTEX.BO,GINISILK.BO,LUDLOWJUT.BO,SHIVAMILLS.NS,DCMNVL.NS,MARALOVER.NS,RAJKSYN.BO,SHIVATEX.NS,BARODARY.BO,SAMBANDAM.BO,SHRJAGP.BO,BOMDYEING.NS,INDORAMA.NS,GHCL.NS,ZENIFIB.BO,WIREFABR.BO,SIYSIL.NS,WEIZMANIND.NS,RELCHEMQ.NS,LKMEHTA.BO,HIMATSEIDE.NS,SKYBIOTECH.BO,KATRSPG.BO,GANECOS.NS,PRABHHANS.BO,RAYMOND.NS,ABREL.NS,GARNETINT.BO,CFEL.BO,SWADPOL.BO,SUBSM.BO,RACE.NS,ANIRIT.BO,YAJUR.BO,ARL.BO,TITAANIUM.BO,TTFL.BO,SWADEIN.BO"
