Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,ADR_Pct
2092,QUADFUTURE.NS,321.75,196.12K,Producer Manufacturing,Electrical Products,34.0,29.0,59.0,70.0,422.94K,194.08K,531.0,248.55,12.87B,No,301.06,344.24,302.44,307.61,3.44
2093,EMERALL.BO,189.6,0.05K,Consumer Services,Hotels/Resorts/Cruise Lines,33.0,26.0,22.0,33.0,1.27K,0.65K,258.95,156.0,2.85B,No,191.07,211.33,189.4,200.36,7.77
2094,MTPL.BO,33.4,7.57K,Finance,Finance/Rental/Leasing,33.0,97.0,42.0,8.0,7.76K,9.07K,52.09,18.7,474.28M,No,26.21,38.94,26.63,36.36,7.59
2095,IFBIND.NS,1188.6,42.82K,Consumer Durables,Electronics/Appliances,33.0,59.0,58.0,5.0,65.07K,71.52K,2019.8,883.2,48.16B,No,1073.26,1417.02,1062.11,1368.55,3.8
2096,CIPLA.NS,1347.0,1044.62K,Health Technology,Pharmaceuticals: Other,33.0,44.0,40.0,43.0,1714.47K,1694.39K,1673.0,1165.7,1088.08B,No,1282.32,1443.51,1274.89,1397.3,1.88
2097,IREDA.NS,134.6,6086.44K,Finance,Finance/Rental/Leasing,33.0,41.0,45.0,40.0,10218.53K,7389.93K,186.58,108.65,378.12B,No,123.82,138.6,124.01,133.54,2.85
2098,SIYSIL.NS,594.55,93.75K,Process Industries,Textiles,33.0,44.0,45.0,18.0,78.68K,93.74K,848.8,433.35,26.97B,No,526.42,625.68,521.61,607.18,3.68
2099,GSFC.NS,175.95,401.20K,Process Industries,Chemicals: Agricultural,33.0,40.0,31.0,47.0,1026.38K,587.03K,220.59,138.83,70.11B,No,163.54,183.75,162.02,174.39,2.2
2100,DELTAMAGNT.NS,64.22,2.02K,Producer Manufacturing,Metal Fabrication,33.0,63.0,37.0,35.0,6.87K,4.07K,115.99,45.51,696.86M,No,58.08,71.89,58.04,65.58,6.91
2101,LAKSELEC.BO,806.05,1.42K,Producer Manufacturing,Electrical Products,33.0,33.0,50.0,41.0,0.99K,0.39K,1266.0,646.1,1.98B,No,793.04,843.2,796.1,783.81,4.47
