Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
515,DREDGECORP.NS,1074.9,71.29K,Transportation,Marine Shipping,83.0,7.0,69.0,64.0,52.1,50.8929,534.80K,345.12K,1286.0,538.0,30.10B,No,1062.78,925.9,1066.63,991.54
542,CARYSIL.NS,1146.8,74.07K,Consumer Durables,Home Furnishings,82.0,59.0,81.0,80.0,46.6143,46.6143,159.51K,83.19K,1247.9,732.1,32.62B,No,1068.66,935.86,1099.48,937.38
550,CHENNPETRO.NS,1120.4,323.88K,Energy Minerals,Oil Refining/Marketing,82.0,17.0,37.0,83.0,34.3286,33.9786,1655.03K,679.06K,1249.0,620.85,166.84B,No,1101.68,950.61,1092.6,987.07
553,IFINSEC.BO,224.95,0.30K,Finance,Finance/Rental/Leasing,82.0,60.0,59.0,84.0,14.2286,13.1393,0.72K,0.11K,256.9,125.0,6.57B,No,201.46,183.14,204.32,186.78
555,CUMMINSIND.NS,5578.5,429.43K,Producer Manufacturing,Auto Parts: Oem,82.0,24.0,57.0,80.0,142.9643,137.5,555.36K,638.28K,6100.0,3330.3,1546.36B,No,5542.11,4690.35,5599.6,4933.04
558,ASARFI.BO,215.0,13.00K,Health Services,Hospital/Nursing Management,82.0,58.0,57.0,71.0,7.1714,6.4036,56.07K,28.89K,256.95,117.2,4.23B,No,214.75,181.77,215.31,192.07
585,MRTX.BO,396.0,264.00K,Electronic Technology,Electronic Components,81.0,,,,33.4107,32.5429,357.89K,219.11K,483.9,283.1,6.92B,No,,,,
600,MAHASTEEL.NS,777.55,3.11K,Non-Energy Minerals,Steel,81.0,2.0,3.0,21.0,46.8143,45.2036,3.85K,4.59K,1050.0,312.2,12.78B,No,848.45,774.64,841.9,853.06
601,MBAPL.NS,119.4,1175.61K,Process Industries,Chemicals: Agricultural,81.0,67.0,52.0,88.0,5.1786,5.1786,1140.40K,1352.68K,126.95,74.63,52.31B,No,110.74,93.23,112.86,98.45
602,AUROPHARMA.NS,1594.6,785.95K,Health Technology,Pharmaceuticals: Other,81.0,71.0,53.0,83.0,38.7929,37.7643,1492.85K,2032.29K,1636.8,1016.1,917.50B,No,1478.28,1270.08,1509.22,1339.09
614,DHANBANK.NS,33.82,866.66K,Finance,Major Banks,80.0,38.0,84.0,85.0,1.3229,1.2893,2479.96K,2035.32K,35.17,19.45,13.35B,No,32.68,27.01,32.95,27.38
623,GREAVESCOT.NS,224.16,1584.63K,Producer Manufacturing,Trucks/Construction/Farm Machinery,80.0,91.0,91.0,73.0,9.9214,9.8021,1832.01K,4717.90K,244.3,119.99,52.22B,No,185.9,181.77,192.88,170.93
629,SMARTLINK.NS,176.16,0.93K,Electronic Technology,Telecommunications Equipment,80.0,77.0,87.0,83.0,8.125,7.8621,22.46K,7.95K,199.0,103.5,1.76B,No,161.1,138.56,166.1,139.2
