Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1103,KPRMILL.NS,1084.7,1088.7,87.10K,Consumer Non-Durables,Apparel/Footwear,69.0,29.0,79.0,60.0,29.7643,29.4143,711.97K,360.55K,1334.0,796.1,371.53B,No,1073.76,1103.97,980.82,1112.45,976.61,500
1104,INDGELA.BO,397.55,393.35,2.01K,Process Industries,Chemicals: Major Diversified,69.0,79.0,46.0,68.0,14.4464,14.425,2.34K,3.25K,418.0,295.0,2.82B,No,377.62,367.4,348.01,368.74,352.83,492
1105,KIRLOSBROS.NS,1935.5,1909.2,34.46K,Producer Manufacturing,Industrial Machinery,68.0,53.0,76.0,70.0,70.9143,70.8143,185.50K,119.33K,2189.2,1335.0,153.70B,No,1893.32,1887.74,1694.54,1886.61,1696.03,500
1106,RATHIST.BO,26.06,26.58,49.47K,Non-Energy Minerals,Steel,68.0,88.0,81.0,64.0,1.315,1.3121,95.95K,135.54K,28.99,13.5,2.25B,No,25.45,21.87,22.91,22.41,21.03,496
1107,PASUSPG.BO,35.0,33.72,0.67K,Process Industries,Textiles,68.0,82.0,79.0,63.0,1.2521,0.6514,0.27K,0.26K,40.99,25.67,326.80M,No,33.61,30.46,31.17,30.98,29.77,496
1108,UTTAMSUGAR.NS,264.99,253.53,395.00K,Process Industries,Agricultural Commodities/Milling,68.0,85.0,65.0,73.0,10.4736,10.1371,110.38K,228.30K,299.0,181.1,10.11B,No,240.2,236.76,234.42,237.02,231.61,500
1109,JPOLYINVST.NS,1063.1,1046.4,50.50K,Finance,Investment Managers,68.0,38.0,53.0,50.0,32.2071,31.8643,13.06K,17.79K,1487.7,716.05,11.18B,No,1050.43,1078.19,1068.33,1073.68,1089.77,498
1110,RITCO.NS,301.75,301.95,130.00K,Transportation,Trucking,68.0,84.0,65.0,75.0,12.4036,12.4,144.49K,199.31K,318.0,167.1,8.59B,No,295.01,273.96,250.38,276.93,242.35,497
1111,CRANEX.BO,92.18,94.45,4.29K,Producer Manufacturing,Trucks/Construction/Farm Machinery,68.0,69.0,71.0,57.0,4.7136,4.5886,8.19K,5.40K,114.0,56.0,739.28M,No,92.35,89.11,77.52,88.51,80.11,497
1112,SHAREINDIA.NS,173.31,165.72,683.12K,Finance,Investment Banks/Brokers,68.0,47.0,82.0,66.0,6.7714,6.6571,3242.82K,502.92K,211.0,115.36,37.92B,No,178.15,159.25,152.49,161.75,146.21,500
1113,HEROMOTOCO.NS,5850.0,5895.0,528.64K,Consumer Durables,Motor Vehicles,68.0,90.0,73.0,47.0,143.8571,138.4643,715.83K,988.45K,6388.5,4671.5,1170.83B,No,5378.84,5096.91,5404.64,5151.73,5231.48,499
1114,ZYDUSWELL.NS,505.45,507.55,117.42K,Consumer Non-Durables,Food: Major Diversified,68.0,9.0,45.0,77.0,19.9714,19.4179,749.28K,499.23K,611.85,367.55,160.81B,No,551.99,547.54,474.0,549.35,484.99,500
1115,SATTRIX.BO,350.0,350.0,2.50K,Technology Services,Information Technology Services,68.0,2.0,33.0,29.0,12.6321,10.3821,6.84K,4.20K,451.0,174.0,3.97B,No,372.38,373.1,361.49,370.33,389.33,497
1116,YATHARTH.NS,845.1,868.85,443.73K,Health Services,Hospital/Nursing Management,68.0,58.0,46.0,78.0,26.4714,25.9643,344.34K,363.82K,919.5,538.25,81.43B,No,850.28,842.15,748.33,842.87,759.25,499
1117,HNDFDS.NS,596.65,595.25,91.29K,Consumer Non-Durables,Food: Specialty/Candy,68.0,73.0,70.0,71.0,18.5607,17.9679,78.95K,98.18K,599.0,442.0,72.29B,No,576.44,559.52,521.35,563.8,519.34,498
1118,CONCORDBIO.NS,1454.5,1444.7,110.29K,Commercial Services,Miscellaneous Commercial Services,68.0,77.0,84.0,59.0,54.0929,53.2214,313.20K,250.81K,1801.9,987.0,152.16B,No,1355.38,1325.4,1259.03,1336.62,1205.5,500
1119,GULPOLY.NS,190.12,189.89,203.66K,Consumer Non-Durables,Food: Specialty/Candy,68.0,46.0,48.0,85.0,10.5371,10.3536,751.07K,911.35K,227.63,121.5,11.82B,No,193.33,196.07,165.55,194.92,174.36,497
1120,MIDHANI.NS,444.85,408.45,16213.71K,Non-Energy Minerals,Other Metals/Minerals,68.0,72.0,56.0,72.0,16.8964,16.0929,1032.33K,874.24K,456.6,266.65,83.34B,No,411.13,420.76,370.49,419.87,381.33,499
1121,THERMAX.NS,4001.6,4083.3,181.92K,Producer Manufacturing,Industrial Machinery,68.0,10.0,17.0,82.0,186.9357,186.0786,318.81K,613.18K,5277.8,2742.7,450.77B,No,4312.32,4579.24,3678.54,4521.75,3948.79,499
1122,APOLLOHOSP.NS,8600.0,8597.0,796.86K,Health Services,Hospital/Nursing Management,68.0,34.0,58.0,70.0,175.9643,173.0,368.29K,385.43K,9050.0,6696.5,1236.55B,No,8872.42,8724.64,7806.44,8744.75,8015.03,500
1123,BORANA.NS,319.0,329.05,33.30K,Process Industries,Textiles,68.0,69.0,39.0,18.0,15.3679,15.1536,51.18K,47.26K,420.0,211.0,8.50B,No,327.85,318.55,322.61,317.9,338.59,304
1124,OBEROIRLTY.NS,1846.0,1799.9,823.06K,Finance,Real Estate Development,68.0,34.0,69.0,68.0,42.2428,40.4143,489.30K,269.79K,1986.1,1391.2,671.21B,No,1827.91,1786.63,1661.83,1806.61,1651.09,498
1125,IRONWOOD.BO,49.03,50.74,4.35K,Consumer Services,Other Consumer Services,68.0,13.0,75.0,42.0,4.4507,4.18,18.26K,13.41K,62.8,32.27,822.75M,No,51.53,48.91,46.62,48.6,46.42,497
1126,TIIL.NS,2887.6,2878.3,110.36K,Producer Manufacturing,Metal Fabrication,68.0,87.0,74.0,73.0,104.3,101.3643,11.99K,9.98K,3020.0,1868.5,65.47B,No,2625.7,2567.49,2383.93,2593.95,2416.52,498
1127,NEERAJ.BO,22.05,21.0,0.14K,Distribution Services,Wholesale Distributors,68.0,69.0,54.0,79.0,0.0814,0.075,0.06K,0.01K,22.49,15.0,242.55M,No,20.98,21.07,18.83,21.2,19.08,497
1128,EASTINDIA.BO,120.9,115.15,5.67K,Process Industries,Containers/Packaging,68.0,93.0,78.0,65.0,5.7136,5.5343,2.57K,4.11K,148.0,85.15,1.79B,No,102.28,102.02,104.81,103.51,105.49,495
1129,ENGINERSIN.NS,240.58,239.2,1969.63K,Industrial Services,Engineering & Construction,68.0,59.0,46.0,81.0,7.225,7.0471,3373.90K,2424.82K,267.0,163.55,135.22B,No,231.96,237.23,214.75,237.04,221.15,498
1130,MRPL.NS,174.38,175.38,4153.00K,Energy Minerals,Oil Refining/Marketing,68.0,81.0,70.0,34.0,7.5107,7.4171,12639.50K,12735.08K,212.31,120.45,305.62B,No,170.4,161.84,166.52,163.74,171.4,500
1131,VRLLOG.NS,301.65,300.9,177.89K,Transportation,Trucking,68.0,94.0,72.0,55.0,12.8764,11.9986,381.77K,1140.75K,310.0,225.0,52.77B,No,264.89,247.48,259.31,249.52,255.0,497
1132,TATACAP.NS,363.75,367.05,1584.02K,Finance,Finance/Rental/Leasing,68.0,58.0,74.0,52.0,10.9464,10.5964,3147.67K,2316.24K,390.2,296.0,1533.82B,No,359.91,352.55,335.13,356.2,336.54,210
1133,THEJO.NS,2072.6,2122.8,12.92K,Distribution Services,Wholesale Distributors,68.0,80.0,74.0,69.0,96.4857,95.95,9.40K,16.42K,2286.6,1443.6,22.48B,No,2020.82,1866.48,1740.36,1918.51,1756.58,497
1134,POONAWALLA.NS,502.7,484.1,2425.98K,Finance,Finance/Rental/Leasing,68.0,70.0,77.0,66.0,15.5821,15.3714,1622.16K,1559.21K,570.4,361.2,440.21B,No,475.12,449.57,441.96,458.01,430.48,500
1135,ORISSAMINE.NS,5003.7,4839.3999,188.96K,Non-Energy Minerals,Steel,68.0,95.0,76.0,64.0,253.4357,230.4429,20.99K,78.08K,6138.9,3100.5,30.02B,No,4110.78,4012.6,4304.57,4061.92,4032.38,500
1136,KAKA.BO,230.95,219.0,29.50K,Producer Manufacturing,Miscellaneous Manufacturing,68.0,78.0,87.0,70.0,9.7393,8.9857,15.06K,15.65K,247.0,139.0,3.15B,No,214.8,204.32,197.07,207.68,187.67,497
1137,VISHNU.NS,600.25,589.45,95.60K,Process Industries,Chemicals: Specialty,68.0,51.0,52.0,67.0,17.2357,17.2357,134.87K,99.47K,670.0,443.7,40.41B,No,609.72,606.5,549.01,606.16,562.32,498
1138,DCBBANK.NS,187.1,188.24,494.27K,Finance,Regional Banks,68.0,43.0,53.0,40.0,6.5086,6.005,1178.12K,1196.96K,205.9,119.51,60.26B,No,189.68,186.57,181.57,187.05,183.64,500
1139,UGARSUGAR.NS,46.49,44.15,850.45K,Process Industries,Agricultural Commodities/Milling,68.0,86.0,66.0,73.0,2.6843,2.5914,182.16K,365.27K,48.85,33.75,5.23B,No,42.33,41.0,40.44,40.96,39.97,498
1140,INDIANB.NS,897.0,897.0,840.64K,Finance,Major Banks,68.0,76.0,62.0,49.0,18.2429,18.0536,3165.55K,1847.06K,1000.9,642.6,1208.23B,No,852.46,841.14,861.26,849.93,875.17,500
1141,MANALIPETC.NS,68.83,67.39,976.90K,Process Industries,Chemicals: Specialty,67.0,77.0,81.0,66.0,2.3143,2.3064,903.65K,368.38K,77.6,39.13,11.84B,No,65.43,64.59,59.73,64.7,57.68,499
1142,PHOENIXLTD.NS,1898.5,1905.0,389.20K,Finance,Real Estate Development,67.0,11.0,62.0,60.0,47.9786,45.7643,658.13K,646.78K,2169.8,1420.2,679.02B,No,1978.04,1946.89,1788.45,1949.82,1782.47,497
1143,MAGADSUGAR.NS,542.85,520.35,78.60K,Process Industries,Agricultural Commodities/Milling,67.0,66.0,60.0,71.0,27.8571,27.7857,25.54K,83.79K,609.95,417.0,7.65B,No,510.42,486.44,482.01,489.27,474.78,498
1144,OAL.NS,356.65,364.6,9.17K,Process Industries,Chemicals: Specialty,67.0,38.0,73.0,73.0,18.0036,17.9286,28.23K,33.00K,400.0,228.0,12.00B,No,370.61,347.4,307.84,348.59,306.19,499
1145,CHOICEIN.NS,810.25,814.5,358.80K,Commercial Services,Miscellaneous Commercial Services,67.0,46.0,78.0,54.0,16.0643,15.9929,908.40K,619.38K,860.5,568.7,180.50B,No,815.71,770.03,746.81,783.88,726.53,499
1146,KIRLOSIND.NS,3806.4,3769.0,7.70K,Non-Energy Minerals,Steel,67.0,21.0,75.0,69.0,127.1857,115.4214,33.04K,7.94K,4574.8,2463.0,40.06B,No,3813.28,3756.27,3334.87,3797.94,3285.0,497
1147,CCL.NS,1143.0,1135.5,64.66K,Consumer Non-Durables,Food: Specialty/Candy,67.0,23.0,52.0,65.0,32.1143,30.9143,362.94K,192.23K,1242.2,815.5,152.40B,No,1162.98,1166.39,1058.87,1162.01,1087.54,500
1148,MANGLMCEM.NS,902.85,903.75,10.25K,Non-Energy Minerals,Construction Materials,67.0,23.0,49.0,65.0,21.3607,20.5107,74.92K,28.96K,1023.45,679.35,24.83B,No,952.82,918.04,835.95,926.6,872.43,497
1149,DAPS.BO,24.46,24.46,4.00K,Commercial Services,Advertising/Marketing Services,67.0,62.0,58.0,79.0,0.0407,0.0,1.08K,0.40K,25.4,12.01,126.58M,No,24.12,23.73,21.17,23.86,20.97,497
1150,KAMADGIRI.BO,112.45,118.15,1.90K,Process Industries,Textiles,67.0,57.0,71.0,75.0,7.8929,4.725,1.90K,1.22K,149.0,64.05,660.01M,No,126.18,120.69,98.54,120.14,102.16,496
1151,HALEOSLABS.NS,1475.0,1451.4,0.81K,Health Technology,Biotechnology,67.0,22.0,15.0,65.0,70.4143,69.9214,1.61K,0.80K,1774.0,1070.0,4.46B,No,1519.44,1489.22,1367.22,1505.13,1402.73,496
1152,ELGIEQUIP.NS,576.55,575.55,143.72K,Producer Manufacturing,Industrial Machinery,67.0,55.0,65.0,68.0,13.3786,13.3322,496.79K,289.14K,633.85,408.25,181.75B,No,581.28,590.46,524.32,586.92,539.93,500
1153,BSE.NS,3502.8,3527.0,3400.70K,Finance,Investment Banks/Brokers,67.0,19.0,20.0,71.0,107.1143,106.3929,3585.82K,4119.50K,4446.8,2021.5,1422.59B,No,3563.53,3767.96,3222.27,3729.92,3405.45,499
1154,ICL.BO,34.0,34.21,0.19K,Process Industries,Textiles,67.0,73.0,60.0,71.0,2.1486,2.02,1.67K,0.52K,44.05,22.05,242.79M,No,37.55,33.3,29.55,33.47,30.76,495
1155,SDL.BO,31.83,33.5,0.01K,Health Technology,Medical Specialties,67.0,7.0,15.0,45.0,1.9243,1.655,1.22K,2.03K,51.49,20.81,231.19M,No,34.34,37.68,34.47,36.97,35.7,498
1156,OLECTRA.NS,1393.5,1383.6,452.03K,Consumer Durables,Motor Vehicles,67.0,52.0,65.0,81.0,33.0214,31.65,765.99K,307.74K,1714.2,866.6,114.38B,No,1354.15,1385.62,1227.67,1400.9,1206.14,500
1157,VINEETLAB.NS,38.44,38.98,83.32K,Process Industries,Chemicals: Specialty,67.0,71.0,62.0,76.0,2.0486,2.0229,45.75K,66.10K,49.99,27.96,738.29M,No,38.23,35.76,35.84,35.91,34.12,499
1158,INDOMIM.NS,831.4,823.65,1679.06K,Producer Manufacturing,Industrial Machinery,67.0,,,,,,13568.29K,13568.29K,908.0,700.0,411.11B,No,,,,,,11
1159,AMPL.BO,30.7,30.2,12.31K,Finance,Investment Managers,67.0,17.0,67.0,50.0,2.5086,2.5014,275.61K,78.89K,39.4,23.65,1.89B,No,31.71,31.42,30.06,31.94,30.03,497
1160,UNITDSPR.NS,1515.0,1535.0,311.40K,Consumer Non-Durables,Beverages: Alcoholic,67.0,80.0,76.0,59.0,27.6214,26.8,956.30K,724.94K,1548.7,1210.8,1075.73B,No,1486.37,1399.74,1368.55,1414.31,1351.55,500
1161,HAWKINCOOK.NS,8305.5,8177.5,0.36K,Producer Manufacturing,Miscellaneous Manufacturing,67.0,22.0,68.0,,268.75,258.8571,1.68K,1.85K,9600.0,7109.0,43.92B,No,8604.9,8340.25,,8429.5,,78
1162,MARICO.NS,864.45,855.0,1409.93K,Consumer Non-Durables,Household/Personal Care,67.0,58.0,52.0,65.0,17.8143,17.35,2000.03K,2021.48K,889.1,690.3,1120.48B,No,861.88,842.04,781.87,846.43,800.62,499
1163,DIXON.NS,14035.0,13800.0,433.36K,Electronic Technology,Electronic Production Equipment,67.0,62.0,83.0,71.0,377.5714,375.0714,561.35K,365.10K,18471.0,9600.0,853.35B,No,14076.55,13097.18,12222.25,13241.2,11629.17,500
1164,JASH.NS,483.6,495.65,69.03K,Producer Manufacturing,Industrial Machinery,67.0,12.0,73.0,69.0,16.6214,15.8214,215.69K,129.77K,572.85,327.1,30.42B,No,505.08,499.92,436.68,504.43,429.73,496
