Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
3139,SHRIGANG.BO,64.25,4.51K,Consumer Non-Durables,Food: Specialty/Candy,8.0,25.0,6.0,32.0,3.2929,3.2036,15.02K,14.16K,109.0,60.3,1.36B,No,67.51,75.08,65.9,73.98
3140,SHREYANIND.NS,141.88,5.32K,Process Industries,Pulp & Paper,8.0,63.0,10.0,14.0,5.6621,5.6207,7.62K,10.65K,247.22,122.0,1.96B,No,139.74,164.5,139.01,151.72
3141,LOTUSCHO.BO,654.0,5.78K,Consumer Non-Durables,Food: Specialty/Candy,8.0,34.0,13.0,4.0,21.8714,20.5571,6.41K,4.00K,1281.0,540.0,8.40B,No,682.37,769.87,675.53,718.22
3142,TRF.NS,228.56,86.42K,Producer Manufacturing,Trucks/Construction/Farm Machinery,8.0,34.0,12.0,19.0,9.255,9.0493,25.55K,33.96K,405.0,215.5,2.52B,No,235.54,268.43,233.92,248.55
3143,ATHENAGLO.BO,59.77,9.40K,Technology Services,Information Technology Services,8.0,68.0,11.0,8.0,3.2236,3.0264,4.40K,8.97K,104.9,49.6,879.31M,No,61.27,72.97,59.41,68.1
3144,SOLARWORLD.NS,184.62,412.90K,Industrial Services,Engineering & Construction,8.0,51.0,28.0,7.0,7.9686,7.8507,692.69K,159.41K,388.5,139.19,16.00B,No,196.91,229.24,194.84,197.62
3145,INNOVANA.NS,322.0,2.47K,Technology Services,Packaged Software,8.0,48.0,8.0,20.0,18.2179,17.7643,11.79K,2.02K,564.8,292.8,6.65B,No,324.61,389.17,324.18,358.45
3146,FIRSTCRY.NS,214.61,290.45K,Retail Trade,Apparel/Footwear Retail,8.0,43.0,23.0,12.0,4.3864,4.1814,2404.60K,432.02K,438.7,202.56,104.16B,No,217.55,257.63,215.49,232.95
3147,THRIVE.BO,82.7,1.20K,Consumer Non-Durables,Household/Personal Care,8.0,12.0,2.0,3.0,4.2921,3.8286,4.01K,0.91K,149.45,72.0,936.13M,No,93.1,107.62,91.6,106.76
3148,UMIYA.BO,23.78,7.88K,Non-Energy Minerals,Steel,8.0,0.0,1.0,10.0,1.8057,1.2986,21.78K,31.97K,45.36,19.67,308.11M,No,33.81,30.87,31.66,32.65
3149,PGHH.NS,8649.0,16.11K,Consumer Non-Durables,Household/Personal Care,8.0,39.0,13.0,5.0,165.25,164.9286,17.39K,31.31K,14509.0,8419.0,280.75B,No,9055.0,11010.14,8946.85,10040.23
3150,ASHOKA.NS,121.12,959.79K,Industrial Services,Engineering & Construction,8.0,16.0,20.0,14.0,2.4679,2.3736,1430.64K,520.74K,214.5,101.0,34.00B,No,126.5,145.97,126.23,130.02
3151,VPL.BO,31.01,1.20K,Process Industries,Agricultural Commodities/Milling,8.0,9.0,11.0,15.0,0.4207,0.1286,0.74K,0.48K,55.0,30.1,191.94M,No,33.69,37.78,32.88,34.23
3152,AFCONS.NS,275.95,1309.03K,Industrial Services,Engineering & Construction,8.0,9.0,8.0,11.0,9.3607,8.9643,1762.49K,785.65K,479.4,265.8,101.49B,No,307.7,342.82,302.43,312.09
3153,MONIKA.BO,198.35,53.20K,Distribution Services,Food Distributors,8.0,9.0,13.0,4.0,8.4964,7.5571,13.96K,20.68K,345.2,194.0,4.25B,No,223.31,257.37,217.57,241.26
3154,SAFE.BO,161.0,0.50K,Technology Services,Internet Software/Services,8.0,30.0,24.0,10.0,7.2107,3.9321,2.95K,1.40K,348.0,142.45,916.89M,No,165.03,210.44,161.93,178.98
3155,PANAENERG.BO,253.7,2.81K,Producer Manufacturing,Electrical Products,8.0,26.0,15.0,7.0,9.2464,9.1286,3.78K,2.62K,399.0,240.0,1.90B,No,271.84,303.55,266.21,289.24
3156,KGES.BO,32.0,3.00K,Commercial Services,Miscellaneous Commercial Services,8.0,87.0,3.0,11.0,0.0521,0.0,1.19K,0.30K,65.58,28.38,67.41M,No,30.15,41.82,30.2,37.4
3157,SEVL.BO,37.0,6.00K,Consumer Durables,Motor Vehicles,8.0,50.0,3.0,4.0,1.4679,1.2686,15.62K,19.20K,82.12,32.7,457.27M,No,41.31,51.67,40.65,49.74
3158,MANINFRA.NS,99.82,1280.69K,Finance,Real Estate Development,8.0,25.0,9.0,28.0,2.4386,2.2129,1975.92K,577.41K,174.3,77.12,40.29B,No,106.25,115.38,103.83,106.03
3159,ROLCOEN.BO,541.05,0.30K,Producer Manufacturing,Metal Fabrication,8.0,68.0,8.0,17.0,10.0286,0.5036,0.03K,0.05K,962.4,504.4,409.03M,No,549.83,632.1,540.64,615.35
3160,ECOSMOBLTY.NS,135.2,33.51K,Finance,Finance/Rental/Leasing,8.0,44.0,41.0,8.0,5.3707,5.2593,187.64K,37.03K,313.0,103.94,8.11B,No,132.5,166.36,131.75,141.99
3161,SILVOAK.BO,78.0,0.26K,Consumer Non-Durables,Beverages: Alcoholic,8.0,66.0,29.0,13.0,4.4257,4.3971,0.62K,0.54K,156.0,60.04,295.64M,No,78.44,89.72,77.83,83.98
3162,AEONXDIGI.BO,120.0,0.47K,Process Industries,Chemicals: Specialty,8.0,65.0,8.0,10.0,8.2357,8.2357,2.11K,1.78K,242.0,99.0,552.04M,No,118.96,145.69,117.59,128.24
3163,CFEL.BO,31.21,19.71K,Process Industries,Textiles,8.0,5.0,6.0,24.0,2.1686,2.1579,21.00K,30.59K,72.86,26.97,780.87M,No,36.25,37.8,35.6,35.75
