Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
CONSOFINVT,Consolidated Finvest & Holdings LTd,277.52,INR,6.853534575696886,120007,3.9340237142229606,Finance,Financial conglomerates,282.68,INR,152,INR,NSE,,64.39784372963686
DYCL,Dynamic Cables Ltd.,393.25,INR,6.846895802200785,580944,31.440446811274192,Producer manufacturing,Electrical products,520,INR,240,INR,BSE,31.818800000000003,16.46675551606694
HALDER,Halder Venture Ltd.,235,INR,6.8181818181818175,6423,1.565058479532164,Distribution services,Food distributors,326.25,INR,176.55,INR,BSE,,-9.28392202277553
WTICAB,Wise Travel India Limited,134.65,INR,6.738010305192231,43000,1.7805383022774328,Finance,Finance/Rental/Leasing,204,INR,75.15,INR,NSE,,-0.259259259259255
STYL,Seshaasai Technologies Limited,392.9,INR,6.737299646835086,45244,2.6495976762435727,Technology services,Packaged software,436.95,INR,209.05,INR,BSE,12.9175,45.734421364985145
GDLLEAS,GDL Leasing & Finance Ltd.,60.8,INR,6.666666666666661,7,0.017131669114047968,Finance,Finance/Rental/Leasing,169.8,INR,8.74,INR,BSE,,-57.25834797891037
BRACEPORT,Brace Port Logistics Limited,62.9,INR,6.610169491525421,4800,1.25,Transportation,Air freight/Couriers,98.8,INR,42.9,INR,NSE,,-33.71970495258167
INFOLLION,Infollion Research Services Limited,183.55,INR,6.560232220609585,31600,3.251028806584362,Commercial services,Commercial printing/Forms,551,INR,168.1,INR,NSE,22.959699999999998,-52.93589743589744
STYL,Seshaasai Technologies Limited,391.75,INR,6.511691136487217,1006460,4.051950770766822,Technology services,Packaged software,437.45,INR,209.11,INR,NSE,12.9175,45.44273250417671
BIOCON,Biocon Limited,437.3,INR,6.41197225939896,43015136,8.794243964211434,Health technology,Pharmaceuticals: major,444.5,INR,331,INR,NSE,49.41160000000001,11.27226463104326
WORTHPERI,Worth Peripherals Ltd.,143.23,INR,6.387877887543635,118413,6.479862099157272,Process industries,Containers/Packaging,186,INR,109,INR,NSE,27.030000000000005,4.5856151880248275
PDSL,PDS Limited,382.25,INR,6.372617225546118,9246576,60.283325716349616,Consumer non-durables,Apparel/Footwear,418.5,INR,246.05,INR,NSE,23.225800000000003,1.6892790635807458
CONCOR,Container Corporation of India Limited,493.15,INR,6.293781657506195,14171169,6.3781627023752,Transportation,Railroads,625,INR,421.45,INR,NSE,45.2014,-6.520708937541461
OSIAJEE,Osiajee Texfab Ltd.,355,INR,6.287425149700598,30150,0.5105660933311436,Process industries,Textiles,495.5,INR,250,INR,BSE,,-5.459387483355526
DFL,Decillion Finance Ltd,42.5,INR,6.25,2161,4.8312094790968025,Finance,Financial conglomerates,61.9,INR,34.25,INR,BSE,,-12.820512820512821
JNKINDIA,Jnk India Limited,535,INR,6.15079365079365,44447,0.8470855051886298,Producer manufacturing,Building products,535,INR,201.6,INR,BSE,29.393899999999995,113.53023348633008
LAKESHORE,Lake Shore Realty Ltd,76.85,INR,6.1464088397789896,2370,0.7586427656850192,Process industries,Agricultural commodities/Milling,121.33,INR,55.45,INR,BSE,,-16.46739130434783
SPLIL,SPL Industries Limited,32.9,INR,6.129032258064512,1079,0.8754563894523368,Consumer non-durables,Apparel/Footwear,46.5,INR,21,INR,BSE,,-2.9498525073746316
DENEERS,De Neers Tools Ltd.,183.25,INR,6.108859293572676,58800,3.3910034602076125,Distribution services,Wholesale distributors,335.9,INR,132,INR,NSE,29.7093,20.519565932259116
CLN,CLN Energy Limited,509.25,INR,6.09375,4000,0.5208333333333334,Producer manufacturing,Electrical products,639.5,INR,260,INR,BSE,,20.675355450236967
