Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
SPICELOUNG,Spice Lounge Food Works Ltd,27.88,INR,8.821233411397337,100823,0.4417426980115598,Retail trade,Discount stores,72.2,INR,16.21,INR,BSE,18.884,-26.631578947368425
CLARA,Clara Industries Ltd.,32.8,INR,8.789386401326697,8300,0.6060606060606061,Process industries,Containers/Packaging,44.57,INR,30,INR,BSE,,-18.000000000000007
KJMCFIN,KJMC Financial Services Limited,61.99,INR,8.773469029654326,260,0.13829051646188947,Finance,Investment banks/Brokers,95,INR,41.21,INR,BSE,,5.067796610169496
NIYOGIN,Niyogin Fintech Ltd,56.01,INR,8.736167734420501,589912,2.70213743472105,Finance,Finance/Rental/Leasing,82.4,INR,30.2,INR,BSE,53.267199999999995,2.245345016429348
PVP,PVP Ventures Limited,40.2,INR,8.619292083220763,3330020,0.9204050133634819,Technology services,Information technology services,40.9,INR,19.39,INR,NSE,33.4679,9.776078645548896
TIINDIA,Tube Investments of India Limited,2963,INR,8.614369501466276,208182,2.434097143137755,Non-energy minerals,Steel,3419.1,INR,2165.05,INR,BSE,55.5299,13.307839388145316
KERNEX,Kernex Microsystems India Ltd.,1901.8,INR,8.568818861677222,1425187,1.9472132612826887,Electronic technology,Computer communications,2580,INR,850,INR,NSE,65.3974,54.90755070456951
RECODE,Recode Studios Limited,323.4,INR,8.523489932885898,100000,1.199616122840691,Retail trade,Specialty stores,344,INR,171,INR,BSE,,51.75973721257625
JYOTICNC,Jyoti Cnc Automation Limited,926.8,INR,8.397660818713446,237746,2.5842434044976916,Producer manufacturing,Metal fabrication,1055,INR,580,INR,BSE,32.312400000000004,-6.293918406551742
MODTHREAD,Modern Threads (India) Ltd,57.23,INR,8.390151515151516,14820,67.48633879781421,Process industries,Textiles,63.36,INR,36,INR,BSE,,24.440095672972376
EMUDHRA,eMudhra Limited,562.05,INR,8.34698795180722,705436,3.623337954300196,Technology services,Packaged software,767.5,INR,364.55,INR,NSE,33.3992,-1.394736842105271
JYOTICNC,Jyoti Cnc Automation Limited,929.2,INR,8.304679759892768,5438972,3.65876041177983,Producer manufacturing,Metal fabrication,1055.9,INR,580.1,INR,NSE,32.312400000000004,-6.706827309236943
BEMHY,Bemco Hydraulics Limited,109,INR,8.296075509190256,44593,2.262237531643322,Producer manufacturing,Industrial machinery,188.2,INR,59.99,INR,BSE,,9.547738693467336
MMFL,MM Forgings Limited,682.15,INR,8.217656857301492,26289,1.7523313091992563,Producer manufacturing,Metal fabrication,687.05,INR,276.05,INR,BSE,37.8312,88.17931034482757
KERNEX,Kernex Microsystems India Ltd.,1902.9,INR,8.162337293241638,75950,1.6099594913418307,Electronic technology,Computer communications,2585.85,INR,850.6,INR,BSE,65.3974,54.70731707317074
COROENGG,Coromandel Engineering Co. Ltd.,57.15,INR,8.095328163419712,13226,2.3486583914904196,Consumer durables,Homebuilding,114.93,INR,48.9,INR,BSE,,-42.27272727272727
SPCON,Srinibas Pradhan Constructions Limited,145.85,INR,8.037037037037033,3600,0.8333333333333334,Industrial services,Engineering & construction,169,INR,99,INR,NSE,31.096599999999995,45.777111444277864
PAKKA,Pakka Ltd,96.09,INR,8.02698145025295,134928,8.880347505594314,Process industries,Pulp & paper,178.95,INR,69.05,INR,BSE,56.0198,-7.024673439767771
SUSAN,Susan Electricals India Limited,279.7,INR,7.992277992277988,245000,0.8163945351549483,Producer manufacturing,Electrical products,289,INR,180.6,INR,BSE,25.057499999999997,50.3763440860215
TIINDIA,Tube Investments of India Limited,2959,INR,7.937550156854159,4188005,12.70458744874412,Non-energy minerals,Steel,3419.9,INR,2164.9,INR,NSE,55.5299,13.193833441719907
SOLARA,Solara Active Pharma Sciences Ltd.,549.05,INR,7.84718130033391,673349,6.035074919827994,Health technology,Pharmaceuticals: major,712,INR,422,INR,NSE,43.0258,-2.8144083547216727
POEL,POCL Enterprises Ltd,161.4,INR,7.779632721202007,57713,1.0763756133679236,Process industries,Chemicals: specialty,268,INR,142,INR,BSE,49.4775,-20.74637859071937
MCLOUD,Magellanic Cloud Ltd.,28.85,INR,7.769891669779611,9815518,4.237727461455445,Technology services,Information technology services,90.5,INR,19.4,INR,NSE,27.482499999999998,10.791090629800316
HARDCAS,Hardcastle & Waud Manufacturing Co. Ltd.,927.6,INR,7.735191637630664,1193,2.8283546704599334,Process industries,Industrial specialties,1048,INR,602.25,INR,BSE,,31.723942061914222
MMP,MMP Industries Ltd.,377.05,INR,7.728571428571432,191009,1.3641054353826563,Non-energy minerals,Other metals/Minerals,383,INR,185.2,INR,NSE,22.8902,50.27899561578318
SOLARA,Solara Active Pharma Sciences Ltd.,547.55,INR,7.721817824119603,29150,3.896381644901281,Health technology,Pharmaceuticals: major,711.2,INR,422.85,INR,BSE,43.0258,-2.8046507499778235
GROVY,Grovy India Ltd.,66.77,INR,7.693548387096767,17781,2.7245981520356746,Finance,Real estate development,72,INR,32,INR,BSE,,40.420609884332286
SANGAMFIN,Sangam Finserv Ltd,45,INR,7.655502392344504,5,0.0012523481527864746,Finance,Finance/Rental/Leasing,50,INR,25.55,INR,BSE,,55.979202772963596
KPEL,K.P. Energy Ltd.,262.3,INR,7.610256410256415,859476,1.5794362862970381,Utilities,Alternative power generation,463.25,INR,237.9,INR,NSE,49.8603,-26.55746885062298
KPEL,K.P. Energy Ltd.,262.65,INR,7.5993445309299394,75146,1.3870384829070543,Utilities,Alternative power generation,465,INR,240.15,INR,BSE,49.8603,-26.69550655874966
MMFL,MM Forgings Limited,680.2,INR,7.575517950340044,935497,3.1959857879812783,Producer manufacturing,Metal fabrication,687.95,INR,288.1,INR,NSE,37.8312,85.84699453551913
BRIGHTBR,Bright Brothers Limited,256.35,INR,7.574485942089808,11417,2.7601963107124656,Process industries,Industrial specialties,378.85,INR,183.9,INR,BSE,,-3.264150943396218
VANDAN,Vandan Foods Limited,26.89,INR,7.560000000000003,8400,2.8,Consumer non-durables,Food: specialty/candy,65.99,INR,19.81,INR,BSE,31.4855,-45.111247193304756
DOLPHIN,Dolphin Offshore Enterprises India Ltd.,618.95,INR,7.559301416282908,70922,9.970197092810752,Industrial services,Oilfield services/Equipment,638.75,INR,323,INR,BSE,9.955699999999998,26.41952614379085
MOLBIO,Molbio Diagnostics Limited,1114.55,INR,7.550902248383673,1166559,,Health technology,Medical specialties,1175,INR,1022.05,INR,BSE,,13.72959183673469
EMERALL,Emerald Leisures Ltd,258.05,INR,7.5208333333333375,7219,0.8096589315956526,Consumer services,Hotels/Resorts/Cruise lines,270,INR,151,INR,BSE,,24.062500000000004
JGCHEM,JG Chemicals Limited,645.85,INR,7.49833555259655,873029,0.5038965260634273,Process industries,Chemicals: specialty,654,INR,298.4,INR,NSE,26.1413,81.82713963963965
PFOCUS,Prime Focus Limited,284.75,INR,7.452830188679245,104387,2.241646999705801,Consumer services,Movies/Entertainment,367.25,INR,139.4,INR,BSE,16.6243,21.170212765957448
PFOCUS,Prime Focus Limited,286.25,INR,7.4512012012012105,2789751,5.472649610877538,Consumer services,Movies/Entertainment,367,INR,139.04,INR,NSE,16.6243,22.068230277185503
