RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1056,BERLDRG.BO,23.6,22.15,6.55,21.33,YES,YES,YES,5.96K,Health Technology,Pharmaceuticals: Other,68.0,74.0,73.0,57.0,2.1371,2.0807,2.47K,3.19K,30.0,15.92,119.69M,No,22.56,22.52,22.12,22.61,21.8,497
1319,BRIGADE.NS,625.75,587.7,6.47,21.98,YES,YES,YES,1512.12K,Finance,Real Estate Development,61.0,79.0,78.0,54.0,20.5964,19.8072,723.32K,492.43K,802.01,450.75,204.10B,No,577.82,551.89,578.01,561.55,542.35,500
573,CRAZY.BO,61.32,57.6,6.46,12.4,YES,,,18.00K,Consumer Non-Durables,Food: Specialty/Candy,82.0,62.0,,,2.3286,1.4871,136.09K,4.80K,70.0,42.47,1.47B,No,59.61,,,,,33
918,MEESHO.NS,209.51,196.88,6.42,17.65,YES,YES,,34029.55K,Retail Trade,Apparel/Footwear Retail,72.0,77.0,59.0,82.0,6.1714,6.1314,20401.72K,9051.66K,254.4,125.56,968.68B,No,190.12,186.36,,188.81,174.27,174
879,FORINTL.BO,80.0,75.2,6.38,13.04,YES,YES,YES,1.06K,Transportation,Air Freight/Couriers,73.0,56.0,52.0,72.0,2.6914,2.1129,0.60K,0.44K,92.0,50.11,563.20M,No,78.91,78.09,69.25,78.41,72.93,497
497,ROLEXRINGS.NS,185.82,174.7,6.37,0.83,YES,YES,YES,4332.71K,Producer Manufacturing,Metal Fabrication,84.0,93.0,83.0,77.0,8.7493,8.495,3296.11K,13576.65K,187.38,99.79,48.75B,No,157.0,149.81,133.79,152.77,140.28,500
1070,LANCORHOL.NS,28.91,27.22,6.21,14.47,YES,YES,YES,303.28K,Finance,Real Estate Development,68.0,87.0,74.0,50.0,2.0764,2.0743,114.20K,242.72K,33.8,18.12,2.13B,No,26.66,25.83,25.31,26.28,25.02,498
234,EBGNG.NS,624.75,588.4,6.18,9.39,YES,YES,YES,1448.07K,Technology Services,Information Technology Services,92.0,83.0,88.0,93.0,30.5786,30.525,739.35K,490.12K,689.5,239.0,71.23B,No,560.99,562.29,406.49,570.23,447.89,264
1071,KROSS.NS,210.36,198.27,6.1,11.46,YES,YES,YES,773.21K,Producer Manufacturing,Auto Parts: Oem,68.0,46.0,62.0,40.0,7.7571,7.6871,825.47K,361.05K,237.6,150.52,13.57B,No,202.03,194.27,189.77,196.37,191.9,482
648,PPEL.BO,642.9,607.05,5.91,5.18,,,,150.80K,Producer Manufacturing,Metal Fabrication,80.0,,,,,,560.98K,331.72K,678.0,447.0,12.82B,No,,,,,,13
955,FUSION.NS,203.32,192.08,5.85,16.33,NO,NO,YES,864.66K,Finance,Finance/Rental/Leasing,71.0,12.0,66.0,57.0,11.2729,10.1971,910.23K,1172.62K,243.0,136.5,32.88B,No,206.42,205.23,181.41,208.33,187.43,499
525,STYL.NS,401.35,379.5,5.76,8.25,YES,YES,YES,302.13K,Technology Services,Packaged Software,84.0,75.0,93.0,87.0,19.9607,19.4286,233.43K,228.86K,437.45,209.11,64.94B,No,385.42,353.46,289.86,363.41,287.26,222
1030,ZEEL.NS,108.03,102.22,5.68,12.98,YES,YES,YES,45639.25K,Consumer Services,Broadcasting,69.0,53.0,83.0,66.0,6.0021,5.5364,41855.03K,37181.05K,124.14,68.0,103.76B,No,101.38,104.95,93.27,105.68,93.66,500
101,KABRAEXTRU.NS,529.1,500.8,5.65,2.2,YES,YES,YES,491.02K,Producer Manufacturing,Industrial Machinery,96.0,97.0,98.0,95.0,37.7643,34.9393,229.47K,656.27K,541.0,180.0,18.50B,No,453.9,348.58,259.23,361.79,274.95,499
963,GOODLUCK.NS,1439.4,1363.3,5.58,13.92,NO,NO,YES,720.89K,Non-Energy Minerals,Steel,71.0,18.0,44.0,78.0,70.9214,68.0643,266.21K,494.46K,1672.1,915.0,47.84B,No,1440.16,1461.31,1236.47,1473.28,1284.73,501
493,GAEL.NS,183.36,173.83,5.48,0.71,YES,YES,YES,2211.27K,Consumer Non-Durables,Food: Specialty/Candy,84.0,92.0,64.0,78.0,7.5321,7.4736,1315.04K,1185.14K,184.67,101.2,84.10B,No,170.54,161.76,143.4,163.21,152.37,501
1112,SHREEPUSHK.NS,406.65,385.8,5.4,14.57,YES,YES,YES,92.65K,Process Industries,Chemicals: Specialty,67.0,51.0,68.0,67.0,17.5643,17.0929,53.88K,47.64K,476.0,272.45,13.15B,No,397.23,398.89,367.61,401.7,364.0,500
1060,GULPOLY.NS,191.92,182.18,5.35,15.69,NO,NO,YES,371.64K,Consumer Non-Durables,Food: Specialty/Candy,68.0,71.0,36.0,69.0,9.8086,9.53,742.44K,851.85K,227.63,121.5,11.93B,No,195.07,194.44,166.59,193.27,176.42,499
433,MANINDS.NS,676.9,643.05,5.26,3.16,YES,YES,YES,1829.81K,Producer Manufacturing,Industrial Machinery,86.0,93.0,77.0,92.0,30.5964,28.425,791.77K,1616.13K,699.0,302.05,50.77B,No,569.12,566.8,466.54,572.35,496.85,498
447,PRARUH.BO,79.0,75.09,5.21,5.95,YES,YES,YES,16.00K,Technology Services,Information Technology Services,86.0,89.0,93.0,81.0,4.4436,3.7143,26.06K,30.80K,84.0,45.0,1.10B,No,72.56,61.15,55.12,63.2,56.89,218
531,MAYUR.BO,23.93,22.75,5.19,19.24,YES,YES,YES,28.49K,Consumer Non-Durables,Apparel/Footwear,83.0,50.0,81.0,56.0,2.7614,2.6836,20.19K,10.30K,29.63,12.75,115.70M,No,23.0,22.32,20.97,22.95,21.28,496
588,MAGNAELQ.BO,1423.4,1353.55,5.16,2.37,YES,YES,YES,1.51K,Producer Manufacturing,Metal Fabrication,82.0,91.0,78.0,86.0,83.9286,82.4679,2.12K,5.94K,1458.0,706.0,6.02B,No,1253.24,1179.24,1024.44,1215.73,1074.89,496
532,MCX.NS,3126.0,2973.0,5.15,10.17,YES,YES,YES,3922.36K,Finance,Investment Banks/Brokers,83.0,80.0,22.0,76.0,106.7356,102.9071,3072.72K,3042.93K,3480.0,1460.8,795.61B,No,2803.1,2815.49,2564.2,2806.54,2735.37,500
417,ECOBOAR.BO,64.89,61.72,5.14,16.59,YES,YES,YES,23.01K,Non-Energy Minerals,Forest Products,87.0,90.0,46.0,73.0,3.935,3.7664,8.55K,8.75K,77.8,29.5,1.71B,No,56.44,55.99,54.37,56.58,59.34,497
241,MARC.NS,127.0,120.8,5.13,,YES,YES,,,Industrial Services,Engineering & Construction,92.0,95.0,83.0,96.0,5.7821,4.8429,,,,,,No,122.35,99.89,,106.42,83.48,156
1351,SOVERDIA.BO,27.23,25.91,5.09,31.06,YES,YES,YES,6.51K,Consumer Durables,Other Consumer Specialties,60.0,88.0,74.0,54.0,2.2621,2.2586,4.35K,6.59K,39.5,18.21,157.61M,No,25.51,23.33,23.35,24.3,22.82,497
1176,SHANTIGOLD.NS,254.06,241.75,5.09,7.31,YES,YES,YES,2410.05K,Consumer Durables,Other Consumer Specialties,65.0,90.0,65.0,66.0,12.8008,12.593,1556.72K,2668.27K,274.1,155.0,18.33B,No,228.98,222.69,209.67,224.23,210.74,263
1227,SBVCL.BO,110.25,105.0,5.0,21.7,YES,YES,YES,10.80K,Producer Manufacturing,Industrial Machinery,63.0,65.0,69.0,79.0,3.1786,2.6429,4.98K,4.62K,140.8,60.3,899.64M,No,104.82,106.57,100.23,106.09,95.95,498
521,GSBFIN.BO,46.2,44.0,5.0,9.39,YES,YES,YES,3.89K,Finance,Investment Banks/Brokers,84.0,58.0,85.0,71.0,2.8193,2.6779,8.01K,2.56K,50.99,25.21,277.20M,No,43.84,39.68,36.44,41.08,37.33,497
817,MAITRI.BO,44.1,42.0,5.0,5.26,YES,YES,YES,0.00K,Non-Energy Minerals,Aluminum,75.0,72.0,54.0,82.0,2.0193,1.2257,0.10K,0.04K,46.55,22.1,194.04M,No,41.94,41.03,35.12,41.3,35.97,497
246,QMSMEDI.NS,141.33,134.6,5.0,0.0,YES,YES,YES,69.22K,Distribution Services,Medical Distributors,92.0,94.0,95.0,87.0,6.7936,6.6479,24.32K,53.93K,141.33,68.95,2.55B,No,120.18,110.22,93.32,113.82,94.41,498
