Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,RS_Rank,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
66,IFINSEC.BO,230.7,214.0,7.8,19.04,540,YES,YES,YES,0.12K,Finance,Finance/Rental/Leasing,83.0,85.0,80.0,82.0,9.5,8.1821,0.65K,0.17K,284.95,140.1,6.73B,No,222.52,213.23,189.04,216.91,194.16,499
67,SIGIND.NS,61.4,56.96,7.79,1.21,946,YES,YES,YES,160.44K,Process Industries,Chemicals: Specialty,71.0,95.0,81.0,72.0,3.1336,2.9514,13.54K,27.00K,62.15,40.66,1.81B,No,47.95,48.34,50.23,48.84,48.62,497
68,PARAGONF.BO,49.89,46.3,7.75,21.64,1945,NO,YES,NO,0.17K,Finance,Finance/Rental/Leasing,43.0,50.0,40.0,39.0,4.9336,4.6907,1.52K,0.20K,63.67,37.25,212.03M,No,50.65,49.73,50.7,49.78,50.23,497
69,CAPILLARY.NS,576.35,534.95,7.74,27.86,1861,YES,YES,,7845.56K,Technology Services,Packaged Software,45.0,82.0,53.0,23.0,33.35,33.025,335.26K,997.42K,798.95,464.25,45.80B,No,504.45,505.15,,507.69,534.84,177
70,GREENLAM.NS,266.7,247.7,7.67,4.28,1093,YES,YES,YES,728.54K,Non-Energy Minerals,Forest Products,67.0,62.0,77.0,55.0,9.3857,9.1964,318.59K,115.03K,278.63,197.59,68.05B,No,252.7,250.11,243.01,254.94,238.83,498
71,MDRC.BO,53.85,50.05,7.59,46.15,3376,YES,NO,,19.20K,Health Services,Medical/Nursing Services,2.0,65.0,2.0,2.0,1.7464,1.1179,7.26K,2.56K,100.0,48.8,813.09M,No,51.12,53.85,,52.74,67.18,142
72,DHOOTIN.BO,267.8,249.0,7.55,6.04,847,YES,YES,YES,16.64K,Distribution Services,Wholesale Distributors,74.0,86.0,88.0,72.0,12.1071,11.5179,1.94K,1.25K,285.0,132.2,1.69B,No,237.73,230.38,216.57,235.49,208.85,496
73,MEGRISOFT.BO,82.37,76.6,7.53,31.36,2455,NO,YES,NO,0.15K,Technology Services,Information Technology Services,28.0,41.0,38.0,13.0,6.34,5.5879,0.43K,0.36K,120.0,59.05,258.70M,No,82.39,81.98,90.36,82.04,85.16,496
74,FIEMIND.NS,2498.0,2324.5,7.46,2.24,925,YES,YES,YES,384.40K,Producer Manufacturing,Auto Parts: Oem,72.0,83.0,68.0,67.0,69.3643,66.0214,50.86K,51.16K,2555.3,1794.0,65.75B,No,2314.81,2291.21,2222.92,2307.27,2215.95,500
75,OLAELEC.NS,41.44,38.57,7.44,41.84,1196,YES,NO,YES,268100.55K,Consumer Durables,Motor Vehicles,64.0,38.0,79.0,75.0,1.5129,1.4736,116209.41K,38193.92K,71.25,22.25,183.11B,No,38.9,41.45,37.09,41.69,35.35,496
76,PRECWIRE.NS,409.5,381.2,7.42,12.41,285,YES,YES,YES,1197.75K,Producer Manufacturing,Electrical Products,90.0,74.0,32.0,89.0,16.2,14.8536,482.19K,178.07K,467.5,168.51,74.86B,No,375.16,398.52,315.52,392.19,346.43,499
77,KNACK.NS,213.35,198.7,7.37,3.34,914,YES,,,3962.07K,Process Industries,Containers/Packaging,72.0,,,,8.935,8.6714,5531.18K,1498.48K,220.72,180.33,26.11B,No,196.57,,,,,21
78,GLEN.BO,110.5,103.01,7.27,6.28,518,YES,YES,YES,290.40K,Process Industries,Containers/Packaging,84.0,98.0,92.0,84.0,5.1943,4.4257,33.76K,44.88K,117.9,58.0,2.66B,No,76.83,72.59,75.85,75.46,74.39,263
79,ELGIRUBCO.NS,62.7,58.48,7.22,30.72,895,YES,YES,YES,209.63K,Producer Manufacturing,Miscellaneous Manufacturing,73.0,76.0,74.0,86.0,3.6029,3.4407,95.89K,57.75K,90.5,32.72,3.14B,No,58.39,52.93,49.08,54.92,47.76,500
80,ADVANCE.NS,134.1,125.11,7.19,12.92,1062,YES,YES,YES,1054.22K,Process Industries,Chemicals: Agricultural,68.0,88.0,80.0,39.0,5.6421,5.2686,267.84K,490.12K,154.0,84.1,8.62B,No,115.06,108.66,116.65,111.41,112.81,205
81,MADHUDIN.BO,36.44,34.0,7.18,27.12,1634,NO,NO,YES,0.47K,Finance,Real Estate Development,52.0,5.0,68.0,67.0,3.0879,2.8814,1.78K,0.23K,50.0,25.2,195.86M,No,37.21,39.42,35.35,38.55,34.66,496
82,CNL.NS,1131.65,1055.8,7.18,1.17,199,YES,YES,YES,287.76K,Distribution Services,Electronics Distributors,93.0,97.0,96.0,89.0,63.8143,63.5929,267.77K,886.86K,1145.0,525.0,16.99B,No,947.36,801.71,698.67,846.5,706.12,497
