Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,%_From_52WKH
363,ATGL.NS,773.3,44770.43K,Utilities,Gas Distributors,87.0,89.0,94.0,86.0,7891.33K,12261540.0,859.85,462.8,850.48B,-10.07
366,USHAMART.NS,506.05,1070.72K,Producer Manufacturing,Metal Fabrication,87.0,81.0,85.0,78.0,682.87K,946350.0,518.0,302.3,154.04B,-2.31
368,JNKINDIA.NS,369.8,469.52K,Producer Manufacturing,Building Products,87.0,48.0,94.0,88.0,469.42K,619690.0,412.15,200.92,20.69B,-10.28
369,JINDALSAW.NS,247.09,4041.09K,Non-Energy Minerals,Steel,87.0,64.0,90.0,93.0,6908.98K,1931830.0,260.4,153.0,157.55B,-5.11
372,SANSTAR.NS,118.26,2346.90K,Consumer Non-Durables,Food: Major Diversified,87.0,96.0,89.0,87.0,536.48K,1762140.0,121.99,74.3,21.55B,-3.06
373,MAHABANK.NS,79.27,11908.24K,Finance,Major Banks,87.0,61.0,75.0,87.0,22777.28K,10909180.0,85.9,50.74,609.71B,-7.72
376,CHENNPETRO.NS,1058.2,688.48K,Energy Minerals,Oil Refining/Marketing,87.0,48.0,80.0,63.0,2684.75K,610220.0,1159.7,603.1,157.58B,-8.75
386,RAMRAT.NS,425.5,638.18K,Producer Manufacturing,Electrical Products,86.0,43.0,89.0,91.0,283.50K,469110.0,520.0,268.0,39.72B,-18.17
387,STAR.NS,1111.8,519.05K,Health Technology,Pharmaceuticals: Major,86.0,72.0,86.0,80.0,332.20K,482860.0,1231.0,768.65,102.48B,-9.68
388,CEIGALL.NS,347.15,487.30K,Industrial Services,Engineering & Construction,86.0,70.0,82.0,91.0,538.10K,577020.0,386.4,222.61,60.48B,-10.16
389,SAILIFE.NS,1160.0,628.98K,Commercial Services,Miscellaneous Commercial Services,86.0,82.0,83.0,89.0,733.73K,1394480.0,1184.8,711.95,246.05B,-2.09
391,ENRIN.NS,3872.1,2387.12K,Producer Manufacturing,Electrical Products,86.0,90.0,92.0,81.0,496.25K,949400.0,3968.0,2115.0,1378.93B,-2.42
392,CGPOWER.NS,917.45,9448.38K,Producer Manufacturing,Electrical Products,86.0,81.0,87.0,86.0,3521.93K,3340100.0,944.1,525.5,1444.94B,-2.82
394,AEQUS.NS,191.55,6333.91K,Electronic Technology,Aerospace & Defense,86.0,42.0,88.0,,2966.38K,3298980.0,223.85,113.3,125.44B,-14.43
400,KISSHT.NS,272.46,5365.53K,Finance,Finance/Rental/Leasing,86.0,,,,11019.90K,6294530.0,281.59,190.0,45.90B,-3.24
402,NRBBEARING.NS,370.0,406.41K,Producer Manufacturing,Auto Parts: Oem,86.0,95.0,89.0,86.0,515.73K,838660.0,390.0,212.55,35.86B,-5.13
403,MOTHERSON.NS,145.74,82898.04K,Producer Manufacturing,Auto Parts: Oem,86.0,88.0,71.0,87.0,23572.71K,30949820.0,151.77,89.7,1534.82B,-3.97
405,INA.NS,126.25,1303.18K,Electronic Technology,Semiconductors,86.0,2.0,,,1327.62K,1228210.0,161.81,79.75,27.83B,-21.98
407,VIYASH.NS,261.94,6483.95K,Health Technology,Pharmaceuticals: Major,86.0,93.0,82.0,68.0,1489.50K,4438710.0,277.35,166.0,114.33B,-5.56
408,ABB.NS,7253.0,1104.96K,Producer Manufacturing,Electrical Products,86.0,52.0,82.0,92.0,458.37K,380850.0,7822.5,4637.5,1536.97B,-7.28
411,KRN.NS,1107.3,107.53K,Producer Manufacturing,Industrial Machinery,86.0,5.0,85.0,87.0,969.06K,398460.0,1405.0,589.8,68.83B,-21.19
417,SKMEGGPROD.NS,204.18,1273.27K,Process Industries,Agricultural Commodities/Milling,85.0,92.0,76.0,61.0,499.49K,2244060.0,232.5,96.3,10.77B,-12.18
423,GESHIP.NS,1418.9,2446.72K,Transportation,Marine Shipping,85.0,36.0,68.0,86.0,1322.63K,4439110.0,1798.0,913.1,202.57B,-21.08
424,HSCL.NS,606.45,6136.75K,Process Industries,Industrial Specialties,85.0,73.0,84.0,89.0,7558.18K,8625190.0,654.45,418.5,305.98B,-7.33
425,AVANTIFEED.NS,1203.6,2348.70K,Process Industries,Agricultural Commodities/Milling,85.0,5.0,17.0,92.0,812.03K,377260.0,1593.8,614.25,163.99B,-24.48
428,FEDFINA.NS,161.69,1161.23K,Finance,Finance/Rental/Leasing,85.0,75.0,81.0,80.0,1072.45K,1050870.0,178.48,94.63,60.52B,-9.41
432,RHETAN.NS,30.03,12234.83K,Non-Energy Minerals,Steel,85.0,60.0,75.0,87.0,3699.73K,7094780.0,31.46,20.32,23.93B,-4.55
434,HINDZINC.NS,632.95,4143.54K,Non-Energy Minerals,Other Metals/Minerals,85.0,64.0,63.0,89.0,6610.35K,5226260.0,733.0,413.5,2674.42B,-13.65
437,MARKSANS.NS,246.19,6575.84K,Health Technology,Pharmaceuticals: Major,85.0,95.0,91.0,87.0,2210.26K,7372300.0,270.7,155.0,111.56B,-9.05
440,GKSL.NS,137.52,306.88K,Health Services,Hospital/Nursing Management,85.0,91.0,84.0,,579.48K,661290.0,148.34,98.36,10.84B,-7.29
442,ANGELONE.NS,337.3,5632.66K,Finance,Investment Banks/Brokers,85.0,72.0,90.0,83.0,10699.19K,10345260.0,351.0,208.63,308.07B,-3.9
446,GAEL.NS,154.89,1287.57K,Consumer Non-Durables,Food: Specialty/Candy,84.0,66.0,58.0,90.0,982.63K,803100.0,177.92,101.2,71.04B,-12.94
447,ICICIAMC.NS,3538.5,680.16K,Finance,Investment Managers,84.0,76.0,78.0,,462.82K,347240.0,3611.0,2530.0,1748.93B,-2.01
451,AETHER.NS,1098.0,367.59K,Process Industries,Chemicals: Major Diversified,84.0,26.0,73.0,85.0,397.72K,393800.0,1275.1,726.45,145.71B,-13.89
452,KEI.NS,5267.5,348.77K,Producer Manufacturing,Electrical Products,84.0,73.0,69.0,87.0,496.55K,347850.0,5476.3,3500.0,503.58B,-3.81
453,GLAND.NS,2250.0,218.30K,Health Technology,Pharmaceuticals: Major,84.0,94.0,84.0,87.0,346.12K,1447460.0,2396.0,1570.0,370.70B,-6.09
461,RADICO.NS,3518.6,647.82K,Consumer Non-Durables,Beverages: Alcoholic,84.0,66.0,87.0,75.0,502.77K,327280.0,3679.0,2500.0,471.25B,-4.36
464,ACMESOLAR.NS,310.1,4060.91K,Industrial Services,Engineering & Construction,84.0,60.0,89.0,87.0,2139.99K,1551960.0,324.3,195.9,187.73B,-4.38
470,DHANBANK.NS,32.88,3243.91K,Finance,Major Banks,84.0,65.0,91.0,83.0,2145.87K,2825840.0,34.99,19.45,12.98B,-6.03
473,ADANIENT.NS,2937.4,4039.57K,Distribution Services,Wholesale Distributors,84.0,91.0,90.0,84.0,2662.93K,3841270.0,3027.5,1753.0,4027.01B,-2.98
475,EBGNG.NS,438.95,440.84K,Technology Services,Information Technology Services,84.0,73.0,83.0,90.0,449.88K,386110.0,484.8,239.0,50.05B,-9.46
481,SAMMAANCAP.NS,177.01,26564.11K,Finance,Finance/Rental/Leasing,83.0,92.0,75.0,77.0,19142.99K,34579750.0,192.95,114.1,202.85B,-8.26
484,AVANTEL.NS,177.38,3203.16K,Electronic Technology,Telecommunications Equipment,83.0,88.0,83.0,78.0,2609.65K,3863950.0,215.0,117.05,47.13B,-17.5
