Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
156,CORDSCABLE.NS,366.75,369.65,92.94K,Producer Manufacturing,Electrical Products,94.0,97.0,96.0,94.0,34.0714,33.7036,166.05K,301.28K,406.95,127.01,4.74B,No,341.87,269.27,205.6,275.62,217.99,500
158,QMSMEDI.NS,192.54,195.1,55.43K,Distribution Services,Medical Distributors,94.0,95.0,97.0,95.0,8.7721,8.5186,32.96K,53.57K,197.0,68.95,3.72B,No,165.95,139.6,101.63,145.75,108.06,499
159,SHREEJISPG.NS,724.85,723.75,344.92K,Transportation,Other Transportation,94.0,86.0,92.0,92.0,22.6036,22.425,1071.43K,1216.07K,729.0,222.0,118.09B,No,689.02,657.63,467.77,667.52,510.57,272
160,RPTECH.NS,883.5,898.7,177.45K,Distribution Services,Electronics Distributors,94.0,64.0,77.0,95.0,40.5679,40.0036,598.88K,336.22K,967.7,310.8,58.67B,No,824.26,825.76,555.78,837.24,631.27,501
162,MACPOWER.NS,2061.1,2059.5,57.33K,Producer Manufacturing,Industrial Machinery,94.0,74.0,96.0,94.0,142.6857,142.0786,65.42K,91.25K,2175.0,761.0,20.62B,No,1935.94,1747.86,1208.52,1802.85,1318.25,500
166,AVALON.NS,2316.1,2445.6001,373.41K,Electronic Technology,Electronic Production Equipment,94.0,81.0,87.0,95.0,143.9714,140.15,533.94K,909.90K,2618.0,777.3,154.91B,No,2305.57,2071.93,1399.44,2118.59,1596.58,501
168,DEEDEV.NS,675.6,711.15,126.75K,Producer Manufacturing,Industrial Machinery,94.0,77.0,55.0,95.0,33.0357,32.7286,179.76K,239.69K,760.0,183.0,50.83B,No,652.86,653.06,455.2,648.78,545.2,500
169,RPEL.NS,1698.4,1711.7,49.46K,Process Industries,Chemicals: Major Diversified,94.0,65.0,91.0,96.0,104.4,102.5572,103.31K,149.73K,1943.7,561.3,77.99B,No,1725.64,1524.67,1036.13,1565.13,1123.99,500
170,RUBYMILLS.NS,494.6,490.2,31.88K,Process Industries,Textiles,94.0,93.0,92.0,95.0,41.5607,41.0821,25.53K,40.10K,515.0,169.02,16.54B,No,442.96,409.58,284.93,416.07,318.23,499
173,BHAGERIA.NS,359.65,351.75,243.33K,Process Industries,Chemicals: Specialty,94.0,98.0,95.0,95.0,20.95,17.0393,96.31K,195.32K,368.2,127.51,15.70B,No,306.39,249.02,191.9,261.54,204.8,499
174,OMNI.NS,547.85,553.7,356.07K,Producer Manufacturing,Metal Fabrication,94.0,22.0,72.0,94.0,25.8072,25.425,1236.34K,1279.10K,764.85,176.25,67.75B,No,544.65,572.13,,567.66,455.67,142
177,AEROFLEX.NS,527.2,520.8,1258.51K,Producer Manufacturing,Industrial Machinery,94.0,73.0,70.0,94.0,27.425,26.375,1512.58K,1581.06K,584.15,158.0,69.76B,No,535.11,484.48,340.95,492.69,400.93,501
179,TIRUPATIFL.NS,79.87,78.34,1211.50K,Producer Manufacturing,Industrial Conglomerates,94.0,85.0,95.0,83.0,3.4679,2.8736,808.56K,335.14K,83.9,30.11,10.11B,No,69.95,70.26,49.34,70.66,55.21,498
180,IOLCP.NS,203.22,206.6,3581.51K,Process Industries,Chemicals: Specialty,94.0,90.0,94.0,96.0,12.5271,12.3107,5502.15K,4322.28K,219.04,67.19,59.65B,No,199.25,175.42,116.85,179.41,132.19,501
181,WHEELS.NS,2180.8,2240.3,188.74K,Producer Manufacturing,Auto Parts: Oem,94.0,96.0,90.0,93.0,161.3928,159.9357,371.62K,543.29K,2498.0,705.85,55.97B,No,1995.25,1663.55,1265.16,1704.57,1439.09,501
182,RUBICON.NS,1676.1,1674.8,265.57K,Health Technology,Biotechnology,94.0,31.0,80.0,93.0,67.6,67.2357,332.16K,318.53K,1899.0,570.75,277.45B,No,1778.28,1680.22,1106.43,1674.35,1252.46,235
