Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
2042,KACHCHH.BO,33.07,1.83K,Non-Energy Minerals,Other Metals/Minerals,35.0,97.0,1.0,11.0,5.00K,1.28K,59.95,18.42,175.30M,No
2043,PIIND.NS,3218.2,74.53K,Process Industries,Chemicals: Specialty,35.0,21.0,40.0,17.0,218.72K,209.42K,4330.0,2951.1,488.21B,No
2044,BTTL.BO,37.5,2.88K,Process Industries,Textiles,35.0,26.0,28.0,33.0,10.19K,5.88K,61.19,34.99,2.19B,No
2045,SSWL.NS,192.97,56.59K,Producer Manufacturing,Auto Parts: Oem,35.0,58.0,19.0,9.0,200.32K,143.37K,280.0,167.41,30.35B,No
2046,ATGL.NS,565.2,553.93K,Utilities,Gas Distributors,35.0,22.0,27.0,42.0,919.76K,361.85K,798.0,532.6,621.61B,No
2047,WSTCSTPAPR.NS,422.1,21.49K,Producer Manufacturing,Office Equipment/Supplies,34.0,65.0,37.0,29.0,57.08K,29.04K,583.0,385.1,27.88B,No
2048,MARKSANS.NS,182.22,500.94K,Health Technology,Pharmaceuticals: Major,34.0,38.0,80.0,13.0,1075.37K,641.72K,308.0,162.0,82.58B,No
2049,PIXTRANS.NS,1434.5,5.90K,Producer Manufacturing,Miscellaneous Manufacturing,34.0,51.0,69.0,50.0,11.01K,6.62K,2571.95,1220.1,19.55B,No
2050,ISTLTD.BO,779.45,0.61K,Producer Manufacturing,Auto Parts: Oem,34.0,39.0,33.0,29.0,0.66K,0.69K,1031.55,673.0,9.09B,No
2051,MMTC.NS,57.53,3202.32K,Distribution Services,Wholesale Distributors,34.0,32.0,26.0,24.0,2528.05K,4120.10K,88.19,44.5,86.29B,No
2052,INTSTOIL.BO,32.6,0.16K,Transportation,Trucking,34.0,54.0,54.0,49.0,3.73K,1.66K,54.25,28.5,162.75M,No
2053,NITINSPIN.NS,319.2,32.56K,Process Industries,Textiles,34.0,44.0,54.0,29.0,77.21K,35.40K,455.0,290.5,17.95B,No
2054,SPORTKING.NS,90.06,24.86K,Process Industries,Textiles,34.0,36.0,21.0,21.0,118.65K,60.48K,140.0,69.91,11.45B,No
2055,JUBLFOOD.NS,563.65,2850.87K,Consumer Services,Restaurants,34.0,30.0,42.0,21.0,1757.26K,1844.91K,796.75,548.4,370.60B,No
2056,MKPMOB.BO,132.8,0.03K,Finance,Financial Conglomerates,34.0,85.0,79.0,69.0,0.16K,0.12K,231.3,102.65,452.98M,No
2057,AMBALALSA.BO,31.06,52.54K,Health Technology,Pharmaceuticals: Major,34.0,82.0,74.0,38.0,77.56K,96.76K,59.99,25.97,2.38B,No
2058,RADHIKAJWE.NS,79.47,329.40K,Consumer Durables,Other Consumer Specialties,34.0,55.0,31.0,50.0,272.88K,180.51K,118.99,70.67,9.38B,No
2059,SUPREME.NS,77.78,26.34K,Finance,Real Estate Development,34.0,33.0,31.0,34.0,109.34K,37.32K,116.5,69.11,3.16B,No
2060,NTPCGREEN.NS,93.27,13626.78K,Utilities,Alternative Power Generation,34.0,49.0,47.0,38.0,4043.10K,2459.17K,133.98,84.55,785.92B,No
2061,ZENITHEXPO.NS,219.25,0.53K,Consumer Non-Durables,Apparel/Footwear,34.0,15.0,16.0,40.0,0.72K,1.59K,360.7,193.0,1.27B,No
2062,LACTOSE.BO,107.05,9.97K,Health Technology,Pharmaceuticals: Major,34.0,4.0,29.0,72.0,6.54K,3.69K,231.0,84.27,1.35B,No
2063,GALAXYSURF.NS,2070.9,18.75K,Consumer Non-Durables,Household/Personal Care,34.0,68.0,43.0,21.0,13.38K,9.08K,2750.1,1955.4,73.42B,No
2064,IEX.NS,139.14,3750.91K,Finance,Investment Banks/Brokers,34.0,54.0,69.0,13.0,6427.00K,3461.33K,215.4,130.26,123.74B,No
2065,WARRENTEA.BO,44.05,0.87K,Process Industries,Agricultural Commodities/Milling,34.0,24.0,23.0,33.0,1.98K,1.27K,63.5,39.7,526.43M,No
2066,GILLANDERS.NS,101.84,4.52K,Consumer Non-Durables,Food: Major Diversified,34.0,6.0,36.0,12.0,9.62K,4.19K,151.9,93.39,2.17B,No
2067,HBSL.NS,74.47,2.00K,Finance,Investment Banks/Brokers,34.0,35.0,66.0,26.0,76.61K,3.51K,137.0,70.0,537.93M,No
2068,PRECOT.NS,431.5,0.38K,Process Industries,Textiles,34.0,38.0,50.0,23.0,7.95K,2.04K,643.65,331.1,5.18B,No
2069,ROSSARI.NS,580.5,18.90K,Process Industries,Chemicals: Specialty,34.0,44.0,42.0,35.0,57.40K,27.81K,841.0,562.35,32.16B,No
2070,BRIGADE.NS,879.5,92.48K,Finance,Real Estate Development,34.0,45.0,62.0,16.0,346.86K,181.03K,1332.0,838.5,215.15B,No
2071,CYBERTECH.NS,147.8,19.41K,Technology Services,Information Technology Services,34.0,72.0,39.0,48.0,525.72K,15.91K,21899.0,125.12,4.60B,No
2072,KOTHARIPRO.NS,74.31,27.06K,Distribution Services,Wholesale Distributors,34.0,15.0,29.0,38.0,143.97K,12.54K,109.0,60.91,4.44B,No
2073,MANAKSIA.NS,62.62,19.90K,Non-Energy Minerals,Steel,34.0,63.0,37.0,35.0,32.38K,30.83K,97.79,54.52,4.11B,No
2074,ROLEXRINGS.NS,128.21,1593.35K,Producer Manufacturing,Metal Fabrication,34.0,95.0,54.0,32.0,2025.38K,3966.78K,195.48,99.79,34.92B,No
2075,COLPAL.NS,2093.3,112.36K,Consumer Non-Durables,Household/Personal Care,34.0,38.0,44.0,36.0,422.66K,265.30K,2975.0,2064.0,569.65B,No
2076,GOLDENTOBC.NS,31.1,1.20K,Finance,Real Estate Development,34.0,14.0,39.0,42.0,1.42K,1.43K,45.0,30.35,559.63M,No
2077,GREAVESCOT.NS,190.53,724.76K,Producer Manufacturing,Trucks/Construction/Farm Machinery,34.0,27.0,30.0,51.0,1671.75K,882.29K,319.5,168.25,44.36B,No
2078,TAINWALCHM.NS,200.1,11.19K,Process Industries,Containers/Packaging,34.0,76.0,54.0,40.0,16.81K,84.34K,315.0,155.0,1.87B,No
2079,MSL.BO,150.15,0.78K,Process Industries,Agricultural Commodities/Milling,33.0,43.0,48.0,36.0,0.77K,0.93K,238.8,142.0,1.65B,No
2080,GAMCO.BO,40.4,35.15K,Finance,Investment Banks/Brokers,33.0,64.0,24.0,62.0,31.21K,46.41K,62.22,32.19,2.18B,No
2081,VERANDA.NS,185.58,215.19K,Commercial Services,Miscellaneous Commercial Services,33.0,13.0,29.0,51.0,346.32K,345.22K,272.5,177.86,17.77B,No
2082,MGL.NS,1130.1,114.36K,Utilities,Gas Distributors,33.0,23.0,39.0,19.0,239.60K,258.12K,1586.9,1092.3,111.63B,No
2083,GANGESSECU.NS,137.63,4.64K,Finance,Financial Conglomerates,33.0,18.0,44.0,28.0,8.31K,3.38K,217.47,125.0,1.40B,No
2084,SONATSOFTW.NS,359.2,682.95K,Technology Services,Information Technology Services,33.0,61.0,60.0,37.0,1168.92K,541.72K,634.05,286.4,99.91B,No
2085,MEDIASSIST.NS,445.1,115.17K,Finance,Investment Managers,33.0,18.0,21.0,44.0,216.90K,287.63K,629.6,415.25,33.14B,No
2086,SICALLOG.NS,98.0,4.12K,Transportation,Other Transportation,33.0,60.0,70.0,74.0,6.19K,8.41K,153.87,79.07,6.41B,No
2087,ELEMARB.BO,204.55,1.40K,Producer Manufacturing,Building Products,33.0,20.0,40.0,27.0,0.45K,0.38K,298.0,199.95,606.08M,No
2088,PANAMAPET.NS,291.95,44.96K,Process Industries,Industrial Specialties,33.0,50.0,72.0,24.0,104.78K,40.02K,403.9,265.55,17.69B,No
2089,DHAMPURSUG.NS,123.29,101.89K,Process Industries,Agricultural Commodities/Milling,33.0,46.0,36.0,30.0,175.17K,356.39K,170.99,110.0,7.93B,No
2090,EMMVEE.NS,188.42,1992.38K,Electronic Technology,Semiconductors,33.0,7.0,,,7623.89K,2290.38K,248.4,171.51,130.45B,No
2091,SPELS.BO,142.85,21.77K,Electronic Technology,Semiconductors,33.0,22.0,2.0,76.0,57.14K,22.70K,262.8,100.05,6.59B,No
2092,DEVYANI.NS,145.17,4321.01K,Consumer Services,Restaurants,33.0,76.0,20.0,32.0,2340.20K,1883.38K,209.75,122.25,178.98B,No
2093,THOMASCOOK.NS,142.93,180.46K,Consumer Services,Other Consumer Services,33.0,27.0,30.0,37.0,838.26K,896.70K,202.55,118.25,66.57B,No
2094,SGFRL.BO,131.35,3.00K,Industrial Services,Engineering & Construction,33.0,95.0,65.0,71.0,9.71K,15.90K,262.3,96.0,3.27B,No
2095,EVERESTIND.NS,524.65,6.29K,Distribution Services,Wholesale Distributors,33.0,55.0,6.0,62.0,11.22K,8.60K,816.0,420.0,8.32B,No
2096,HEIDELBERG.NS,175.33,104.01K,Non-Energy Minerals,Construction Materials,33.0,32.0,27.0,37.0,109.16K,65.07K,242.78,168.94,39.74B,No
2097,NIPPOBATRY.NS,412.8,4.35K,Producer Manufacturing,Electrical Products,33.0,52.0,37.0,39.0,3.35K,2.88K,583.0,388.1,3.11B,No
2098,KCP.NS,180.53,46.46K,Producer Manufacturing,Industrial Conglomerates,33.0,50.0,45.0,40.0,156.20K,108.80K,245.0,167.55,23.27B,No
2099,AAVAS.NS,1511.8,135.13K,Finance,Finance/Rental/Leasing,33.0,22.0,48.0,23.0,197.80K,223.14K,2234.0,1435.0,119.70B,No
2100,NAPSGLOBAL.BO,50.44,3.20K,Process Industries,Textiles,33.0,57.0,92.0,22.0,5.23K,6.56K,108.0,37.05,223.45M,No
2101,ORKLAINDIA.NS,612.0,227.39K,Consumer Non-Durables,Food: Specialty/Candy,33.0,22.0,,,845.08K,128.10K,760.0,587.05,83.84B,No
