Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
73,RAPICUT.BO,297.4,291.6,3.11K,Non-Energy Minerals,Other Metals/Minerals,97.0,92.0,94.0,97.0,12.6607,10.6464,10.05K,3.26K,297.4,66.66,1.60B,No,259.65,225.55,159.67,241.05,188.78,494
74,DUKEOFS.BO,43.02,42.18,4.66K,Retail Trade,Specialty Stores,97.0,97.0,98.0,97.0,0.785,0.0186,5.95K,7.17K,43.02,13.12,424.06M,No,35.47,27.08,20.12,30.69,22.73,494
75,HYPERSOFT.BO,212.0,203.9,78.41K,Commercial Services,Miscellaneous Commercial Services,96.0,48.0,94.0,98.0,16.3536,16.3536,9.57K,11.71K,230.05,51.25,17.90B,No,210.88,206.83,122.83,209.69,145.66,494
77,HIIL.BO,449.6,445.15,0.81K,Producer Manufacturing,Electrical Products,96.0,66.0,75.0,98.0,0.9429,0.0,4.27K,0.28K,449.6,121.33,9.73B,No,439.04,426.34,253.44,430.36,303.4,497
78,KELENRG.BO,10236.5,9750.0498,6.86K,Process Industries,Industrial Specialties,96.0,87.0,98.0,97.0,449.0178,358.0142,2.02K,1.23K,10237.55,2900.0,10.24B,No,8655.23,7347.09,4726.24,8025.36,5220.52,494
79,ZELIO.BO,724.6,710.4,36.50K,Consumer Durables,Motor Vehicles,96.0,91.0,94.0,96.0,24.75,17.3143,22.99K,21.65K,840.0,154.9,15.33B,No,745.24,633.14,447.17,664.56,473.42,207
81,RRMETAL.BO,72.03,73.5,0.93K,Distribution Services,Food Distributors,96.0,94.0,98.0,97.0,3.2157,1.8221,13.03K,23.55K,77.81,23.8,648.91M,No,65.35,55.99,36.15,60.65,39.81,494
82,JLL.BO,121.55,124.0,0.07K,Finance,Finance/Rental/Leasing,96.0,4.0,95.0,96.0,3.0179,0.15,1.24K,0.05K,169.1,31.55,365.73M,No,147.1,116.48,71.17,122.6,81.73,495
85,SKM.BO,445.0,460.0,11.00K,Process Industries,Chemicals: Major Diversified,96.0,76.0,92.0,98.0,16.425,15.0857,31.67K,11.40K,495.0,102.05,5.45B,No,460.91,413.48,238.09,423.74,282.2,201
87,AMRAPLIN.BO,36.64,35.77,10.15K,Technology Services,Packaged Software,96.0,75.0,97.0,97.0,2.93,2.93,28.92K,13.79K,44.77,12.65,1.88B,No,36.16,33.27,19.83,35.56,22.37,494
91,VEERHEALTH.BO,46.29,44.1,182.26K,Health Technology,Pharmaceuticals: Other,96.0,92.0,98.0,97.0,1.0921,1.0921,150.59K,91.95K,46.3,16.7,925.73M,No,42.19,34.72,23.31,37.03,26.01,495
93,FREDUN.BO,1218.0,1244.2,44.55K,Health Technology,Pharmaceuticals: Major,96.0,96.0,94.0,96.0,83.8036,79.4714,45.68K,63.18K,1331.7,338.73,20.14B,No,1004.72,905.58,677.31,951.18,739.93,497
96,GDLLEAS.BO,65.56,65.24,0.06K,Finance,Finance/Rental/Leasing,96.0,85.0,13.0,0.0,2.115,1.7293,0.35K,0.16K,169.8,8.33,328.46M,No,65.17,67.77,91.8,68.55,84.01,494
