Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%Dist_52H
159,SENORES.NS,1253.2,128.22K,Health Technology,Pharmaceuticals: Major,94.0,94.0,94.0,92.0,61.9857,59.8286,443.15K,538.13K,1311.0,513.0,57.71B,No,994.8,825.92,1051.95,879.7,-4.41
161,APARINDS.NS,16153.0,117.69K,Electronic Technology,Electronic Equipment/Instruments,94.0,92.0,93.0,95.0,653.5714,613.0714,136.38K,192.39K,16475.0,6801.0,648.93B,No,12634.94,9795.31,13178.8,10556.03,-1.95
162,TDPOWERSYS.NS,1175.6,388.15K,Producer Manufacturing,Electrical Products,94.0,42.0,88.0,92.0,65.9214,64.2928,1460.76K,1245.84K,1379.6,453.1,183.66B,No,1162.22,827.22,1208.38,920.49,-14.79
163,JAYBARMARU.NS,161.59,2830.11K,Distribution Services,Wholesale Distributors,94.0,98.0,94.0,95.0,9.625,9.2086,1216.23K,2225.29K,169.13,71.01,17.46B,No,105.68,96.25,112.67,98.18,-4.46
165,SASKEN.NS,2168.1,18.91K,Technology Services,Information Technology Services,94.0,91.0,96.0,94.0,137.0929,134.2143,227.90K,93.09K,2440.0,991.0,32.93B,No,1684.5,1415.2,1753.86,1422.03,-11.14
169,QPOWER.NS,1268.8,104.17K,Producer Manufacturing,Electrical Products,93.0,85.0,91.0,94.0,54.5643,50.2786,996.94K,243.94K,1441.0,502.25,98.26B,No,1167.51,918.66,1209.6,924.36,-11.95
170,FCL.NS,42.75,13547.49K,Process Industries,Industrial Specialties,93.0,98.0,96.0,95.0,2.755,2.5679,20708.34K,20681.50K,44.44,19.1,49.81B,No,30.37,25.53,31.86,26.11,-3.8
171,IZMO.NS,1082.95,120.56K,Technology Services,Packaged Software,93.0,98.0,89.0,79.0,50.0571,41.6357,80.31K,246.91K,1374.7,332.05,16.20B,No,759.31,810.76,795.86,767.29,-21.22
177,COCKERILL.NS,9385.5,10.54K,Non-Energy Minerals,Steel,93.0,98.0,,,797.6429,765.0,30.32K,81.67K,10871.5,5015.25,,No,,,,,-13.67
178,KIRLOSENG.NS,1940.6,96.98K,Producer Manufacturing,Electrical Products,93.0,89.0,83.0,93.0,75.1571,72.2214,413.91K,299.75K,1990.8,825.6,282.14B,No,1711.12,1280.95,1770.96,1446.21,-2.52
179,PAISALO.NS,58.87,4148.09K,Finance,Finance/Rental/Leasing,93.0,93.0,95.0,92.0,2.3886,2.3386,12951.11K,13409.29K,61.0,29.38,53.54B,No,48.96,39.06,51.47,40.64,-3.49
180,SANSERA.NS,2888.7,262.84K,Producer Manufacturing,Auto Parts: Oem,93.0,89.0,81.0,94.0,95.4429,94.4714,288.54K,236.81K,3000.0,1216.3,180.04B,No,2609.72,1952.43,2677.0,2196.96,-3.71
181,BALAMINES.NS,2067.5,89.32K,Process Industries,Chemicals: Specialty,93.0,93.0,96.0,95.0,137.7857,135.6143,404.00K,924.67K,2262.5,968.1,66.99B,No,1586.25,1317.52,1676.35,1295.57,-8.62
182,UNIVCABLES.NS,1173.8,357.23K,Electronic Technology,Electronic Components,93.0,87.0,95.0,84.0,95.4786,93.2571,290.19K,406.72K,1302.5,576.0,40.73B,No,1002.17,820.12,1038.89,855.98,-9.88
183,SPARC.NS,233.2,1695.66K,Health Technology,Pharmaceuticals: Major,93.0,95.0,96.0,91.0,12.01,11.7729,6348.54K,4058.76K,248.75,108.0,75.68B,No,175.81,143.94,185.93,149.7,-6.25
184,NETWEB.NS,4815.1,1731.34K,Electronic Technology,Computer Peripherals,93.0,91.0,89.0,91.0,303.9572,285.4286,1786.00K,2717.36K,4965.0,1700.1,274.08B,No,4056.91,3508.79,4259.17,3585.63,-3.02
188,SCPL.NS,516.4,23.81K,Consumer Non-Durables,Food: Meat/Fish/Dairy,93.0,86.0,90.0,97.0,26.9857,24.0107,15.72K,26.01K,524.9,190.03,5.42B,No,402.5,307.22,420.36,342.52,-1.62
189,CEMPRO.NS,1168.6,196.97K,Industrial Services,Engineering & Construction,93.0,91.0,97.0,89.0,64.9071,60.5714,1535.72K,961.47K,1257.4,503.3,200.75B,No,878.08,762.08,929.7,751.97,-7.06
190,ARFIN.NS,93.5,2407.98K,Non-Energy Minerals,Aluminum,93.0,44.0,61.0,91.0,4.01,3.9257,2080.02K,2734.84K,106.2,31.43,15.81B,No,91.77,69.51,92.67,79.87,-11.96
193,CONFIPET.NS,71.02,585.66K,Retail Trade,Specialty Stores,93.0,85.0,98.0,95.0,5.005,4.975,5222.03K,4203.58K,80.57,28.06,23.60B,No,61.43,44.25,62.26,44.96,-11.85
196,MIRCELECTR.NS,37.95,89.58K,Electronic Technology,Telecommunications Equipment,93.0,2.0,91.0,92.0,1.9014,1.86,2438.06K,430.90K,49.23,13.69,13.87B,No,36.98,30.01,37.76,31.36,-22.91
197,MCLEODRUSS.NS,66.7,62.28K,Consumer Non-Durables,Food: Specialty/Candy,93.0,81.0,94.0,88.0,1.3143,0.0071,609.13K,241.61K,78.41,28.5,6.97B,No,60.97,49.34,63.43,49.61,-14.93
